locationName,occupantPartyName,occupantId,logisticsProductGroupName
AGCENTRAL FARMERS-ATHENS,Carolina Eastern Inc,fa14ef19-d730-4846-b4b2-e32fc2574b59,UAN
AGRISERVICES OF-BRUNSWICK,AGRIServices of Brunswick LLC,6eb8d6c1-5d65-481a-8566-6522f9038f46,UAN
AGTEGRA COOPERATIVE-ABERDEEN,Agtegra Cooperative,4bc3b602-5cf8-4255-a3e4-747c38b31aa7,UAN
AGTEGRA COOPERATIVE-HURON,Agtegra Cooperative,451a77d0-8de4-4eeb-a3d3-13b47cbb0f28,UAN
ALLIANCE-REYNOLDS IN,Koch Fertilizer LLC,0b0cbf29-75a5-4446-8a28-ae14943c3a89,UAN
ALLIED COOPERATIVE-ADAMS,Allied Cooperative,d98b9058-f2b1-4c29-aea8-f65aebb02b66,UAN
ALLIED COOPERATIVE-AUBURNDALE,Allied Cooperative,33dba63a-b071-4674-acbb-64c7e7dc2049,UAN
ALTER LOGISTICS-ROCK ISLAND,Ameropa North America Inc,0e52934d-9d12-4670-a44d-9db2fa1f9896,UAN
AMERICAN PLANT-FORT WORTH,American Plant Food Corp (Galena Park TX),c7cf508b-a7ed-4fdd-8fa2-8cf6231420fb,UAN
ANDERSONS PLANT-WARREN,The Andersons Inc,0ec934e7-6ace-4c7a-abab-683143a2cdd2,UAN
AURORA COOPERATIVE-AURORA,Aurora Cooperative,1807b39b-e0c2-4c19-af45-a2bcac660e47,UAN
BAMBAUER FERTILIZER-JACKSON CENTER,Meherrin Fertilizer Inc,a448a5fe-c3cf-4a9e-bf52-11b266fb1785,UAN
BARTON SOLVENTS (WEST BEND),Barton Solvents Inc,a5f12db1-2211-4395-bab8-447808873582,UAN
BILLINGS MT,Koch Fertilizer LLC,aeb1d6e5-9e05-4a6d-b67c-c2673cb20522,UAN
BLOWERS AGRA-GENEVA,Carolina Eastern Inc,03bab4b1-a189-47aa-b457-9fae479d104b,UAN
BRENNTAG MIDSOUTH-EAST SAINT LOUIS,Brenntag Mid-South Inc,1b841ef1-c7f9-4c76-95a0-d55da7059737,UAN
BROWNSFIELD FARMERS-BROWNFIELD,Winfield Solutions LLC,b7343683-2056-4adc-adfb-8264e04c2418,UAN
CAROLINA EASTERN-BERNARDSTON,Carolina Eastern Inc,5ba0d728-2af8-4dfc-8cde-00d5197debd9,UAN
CAROLINA MARINE TERMINAL,Koch Fertilizer LLC,2e687228-a0f0-48b1-adca-fe72c101d66c,UAN
CENTRAL VALLEY-ROYAL,Central Valley Ag Cooperative Nonstock,bf48e87f-0184-4bdc-a390-d704170e2d0f,UAN
CHS INC-COLUMBIA CITY,CHS Inc,2dfe84f7-14d8-440e-9839-5415ae492cb2,UAN
CHS INC-CRESCENT CITY,CHS Inc,cea8047e-33e5-42d2-b9e3-7cf1690c9597,UAN
CHS INC-FRIONA,CHS Inc,31acbc7c-ede7-42cf-9ca8-a935fd9128ab,UAN
CHS INC-MITCHELL,CHS Inc,84d9216c-5b35-49ec-aef6-72901c183be5,UAN
CHS INC-SHELBY,CHS Inc,62d3317f-bb37-46ef-ae06-4b165576c88f,UAN
CHS INC-WARDEN,CHS Inc,ff94602f-f8c1-411c-a078-26ee25ae1bfc,UAN
CLARKS AG-MACKSVILLE,Clarks Ag LLC,126507fa-f3b0-4882-9116-c3fcc3431b3c,UAN
DAKOTA AGRONOMY-MINOT,Dakota Agronomy Partners LLC,c765a670-3f94-476d-bc4c-8d39e287339c,UAN
DIVERSIFIED INGREDIENTS-MEADVILLE,Centerra Co-op,45933202-48a4-4291-95c8-625051c27e5c,UAN
ELDON C-HILLS,Eldon C Stutsman Inc,7c96ddd9-78c5-4e3a-9edc-c3828b7aeb77,UAN
EVERGRO COOPERATIVE-ORANGE,Southern States Cooperative Inc,977e3098-2e35-40b2-810a-f504a07cf794,UAN
FARMERS AG-MADISON,Farmers Ag Center LLC,c63e4c44-ae7e-47b9-a096-0c755342ec08,UAN
FARMERS COOPERATIVE-SNYDER,Farmers Cooperative Association   (Snyder  OK),bf5b9586-e25f-468e-8eb2-d75ff4935c2c,UAN
FARMERS ELEVATOR-HOLGATE,The Farmers Elevator Grain and Supply Association,c543a35f-dacf-458e-bfd9-a6aac0a5d944,UAN
FARMERS PRIDE-OSMOND,Farmers Pride Coop,57495acc-4cbc-4808-b230-98f11f0a593c,UAN
FRANCESVILLE AGRONOMY-FRANCESVILLE,Ceres Solutions Cooperative Inc,484736e5-bbfe-4f4c-9602-83bb1229eb06,UAN
FREMAR LLC-MARION,Fremar LLC,c3865211-588a-4b85-9ff4-63ba489ecaeb,UAN
GROWMARK FS-SANGERFIELD,Carolina Eastern Inc,59f6191f-8ade-4c32-9951-91b21bed0ec9,UAN
HEARTLAND CO-OP,Koch Fertilizer LLC,3575adcf-5e96-4374-a641-0aa68ac95333,UAN
HELENA AGRIENTERPRISES-ABERNATHY,Helena Agri-Enterprises LLC,94435ad0-77be-4818-9a98-4364d123462a,UAN
HELENA AGRIENTERPRISES-CORDELE,Helena Agri-Enterprises LLC,33222030-08df-47a4-bb57-442d49d2fcd9,UAN
