effectiveDate,expirationDate,lastUpdateDate,Country,productGroup,fsc
1/16/2023,1/31/2023,2/15/2024 16:57,US,DRY,0.33
1/16/2023,1/31/2023,2/15/2024 16:57,US,LIQUID,0.33
1/16/2023,1/31/2023,2/15/2024 16:57,US,AMMONIA,0.33
1/16/2023,1/31/2023,2/15/2024 16:57,US,DEF,0.33
2/1/2023,2/15/2023,2/15/2024 16:57,US,DRY,0.33
2/1/2023,2/15/2023,2/15/2024 16:57,US,LIQUID,0.33
2/1/2023,2/15/2023,2/15/2024 16:57,US,AMMONIA,0.33
2/1/2023,2/15/2023,2/15/2024 16:57,US,DEF,0.33
2/16/2023,2/28/2023,2/15/2024 16:57,US,DRY,0.32
2/16/2023,2/28/2023,2/15/2024 16:57,US,LIQUID,0.32
2/16/2023,2/28/2023,2/15/2024 16:57,US,AMMONIA,0.32
2/16/2023,2/28/2023,2/15/2024 16:57,US,DEF,0.32
3/1/2023,3/15/2023,2/15/2024 16:57,US,DRY,0.305
3/1/2023,3/15/2023,2/15/2024 16:57,US,LIQUID,0.305
3/1/2023,3/15/2023,2/15/2024 16:57,US,AMMONIA,0.305
3/1/2023,3/15/2023,2/15/2024 16:57,US,DEF,0.305
3/16/2023,3/31/2023,2/15/2024 16:57,US,DRY,0.3
3/16/2023,3/31/2023,2/15/2024 16:57,US,LIQUID,0.3
3/16/2023,3/31/2023,2/15/2024 16:57,US,AMMONIA,0.3
3/16/2023,3/31/2023,2/15/2024 16:57,US,DEF,0.3
4/1/2023,4/15/2023,2/15/2024 16:57,US,DRY,0.285
4/1/2023,4/15/2023,2/15/2024 16:57,US,LIQUID,0.285
4/1/2023,4/15/2023,2/15/2024 16:57,US,AMMONIA,0.285
4/1/2023,4/15/2023,2/15/2024 16:57,US,DEF,0.285
4/16/2023,4/30/2023,2/15/2024 16:57,US,DRY,0.285
4/16/2023,4/30/2023,2/15/2024 16:57,US,LIQUID,0.285
4/16/2023,4/30/2023,2/15/2024 16:57,US,AMMONIA,0.285
4/16/2023,4/30/2023,2/15/2024 16:57,US,DEF,0.285
5/1/2023,5/15/2023,2/15/2024 16:57,US,DRY,0.29
5/1/2023,5/15/2023,2/15/2024 16:57,US,LIQUID,0.29
5/1/2023,5/15/2023,2/15/2024 16:57,US,AMMONIA,0.29
5/1/2023,5/15/2023,2/15/2024 16:57,US,DEF,0.29
5/16/2023,5/31/2023,2/15/2024 16:57,US,DRY,0.275
5/16/2023,5/31/2023,2/15/2024 16:57,US,LIQUID,0.275
5/16/2023,5/31/2023,2/15/2024 16:57,US,AMMONIA,0.275
5/16/2023,5/31/2023,2/15/2024 16:57,US,DEF,0.275
6/1/2023,6/15/2023,2/15/2024 16:57,US,DRY,0.265
6/1/2023,6/15/2023,2/15/2024 16:57,US,LIQUID,0.265
6/1/2023,6/15/2023,2/15/2024 16:57,US,AMMONIA,0.265
6/1/2023,6/15/2023,2/15/2024 16:57,US,DEF,0.265
6/16/2023,6/30/2023,2/15/2024 16:57,US,DRY,0.26
6/16/2023,6/30/2023,2/15/2024 16:57,US,LIQUID,0.26
