effectiveDate,expirationDate,lastUpdateDate,Country,productGroup,fsc
4/28/2023,2/14/2024,2/15/2024 16:57,CA,DRY,0.38
4/28/2023,2/14/2024,2/15/2024 16:57,CA,LIQUID,0.38
4/28/2023,2/14/2024,2/15/2024 16:57,CA,AMMONIA,0.38
5/15/2023,2/14/2024,2/15/2024 16:57,CA,DRY,0.36
5/15/2023,2/14/2024,2/15/2024 16:57,CA,LIQUID,0.36
5/15/2023,2/14/2024,2/15/2024 16:57,CA,AMMONIA,0.36
5/31/2023,2/14/2024,2/15/2024 16:57,CA,DRY,0.37
5/31/2023,2/14/2024,2/15/2024 16:57,CA,LIQUID,0.37
5/31/2023,2/14/2024,2/15/2024 16:57,CA,AMMONIA,0.37
6/15/2023,2/14/2024,2/15/2024 16:57,CA,DRY,0.35
6/15/2023,2/14/2024,2/15/2024 16:57,CA,LIQUID,0.35
6/15/2023,2/14/2024,2/15/2024 16:57,CA,AMMONIA,0.35
6/30/2023,2/14/2024,2/15/2024 16:57,CA,DRY,0.35
6/30/2023,2/14/2024,2/15/2024 16:57,CA,LIQUID,0.35
6/30/2023,2/14/2024,2/15/2024 16:57,CA,AMMONIA,0.35
7/14/2023,2/14/2024,2/15/2024 16:57,CA,DRY,0.35
7/14/2023,2/14/2024,2/15/2024 16:57,CA,LIQUID,0.35
7/14/2023,2/14/2024,2/15/2024 16:57,CA,AMMONIA,0.35
7/31/2023,2/14/2024,2/15/2024 16:57,CA,DRY,0.38
7/31/2023,2/14/2024,2/15/2024 16:57,CA,LIQUID,0.38
7/31/2023,2/14/2024,2/15/2024 16:57,CA,AMMONIA,0.38
8/15/2023,2/14/2024,2/15/2024 16:57,CA,DRY,0.44
8/15/2023,2/14/2024,2/15/2024 16:57,CA,LIQUID,0.44
8/15/2023,2/14/2024,2/15/2024 16:57,CA,AMMONIA,0.44
8/31/2023,2/14/2024,2/15/2024 16:57,CA,DRY,0.45
8/31/2023,2/14/2024,2/15/2024 16:57,CA,LIQUID,0.45
8/31/2023,2/14/2024,2/15/2024 16:57,CA,AMMONIA,0.45
9/15/2023,2/14/2024,2/15/2024 16:57,CA,DRY,0.44
9/15/2023,2/14/2024,2/15/2024 16:57,CA,LIQUID,0.44
9/15/2023,2/14/2024,2/15/2024 16:57,CA,AMMONIA,0.44
9/16/2023,2/14/2024,2/15/2024 16:57,CA,DRY,0.47
9/16/2023,2/14/2024,2/15/2024 16:57,CA,LIQUID,0.47
9/16/2023,2/14/2024,2/15/2024 16:57,CA,AMMONIA,0.47
9/30/2023,2/14/2024,2/15/2024 16:57,CA,DRY,0.47
9/30/2023,2/14/2024,2/15/2024 16:57,CA,LIQUID,0.47
9/30/2023,2/14/2024,2/15/2024 16:57,CA,AMMONIA,0.47
10/15/2023,2/14/2024,2/15/2024 16:57,CA,DRY,0.45
10/15/2023,2/14/2024,2/15/2024 16:57,CA,LIQUID,0.45
10/15/2023,2/14/2024,2/15/2024 16:57,CA,AMMONIA,0.45
10/31/2023,2/14/2024,2/15/2024 16:57,CA,DRY,0.48
10/31/2023,2/14/2024,2/15/2024 16:57,CA,LIQUID,0.48
10/31/2023,2/14/2024,2/15/2024 16:57,CA,AMMONIA,0.48
11/15/2023,2/14/2024,2/15/2024 16:57,CA,DRY,0.5
11/15/2023,2/14/2024,2/15/2024 16:57,CA,LIQUID,0.5
11/15/2023,2/14/2024,2/15/2024 16:57,CA,AMMONIA,0.5
11/30/2023,2/14/2024,2/15/2024 16:57,CA,DRY,0.45
11/30/2023,2/14/2024,2/15/2024 16:57,CA,LIQUID,0.45
11/30/2023,2/14/2024,2/15/2024 16:57,CA,AMMONIA,0.45
12/14/2023,2/14/2024,2/15/2024 16:57,CA,DRY,0.41
12/14/2023,2/14/2024,2/15/2024 16:57,CA,LIQUID,0.41
12/14/2023,2/14/2024,2/15/2024 16:57,CA,AMMONIA,0.41
12/30/2023,2/14/2024,2/15/2024 16:57,CA,DRY,0.39
12/30/2023,2/14/2024,2/15/2024 16:57,CA,LIQUID,0.39
12/30/2023,2/14/2024,2/15/2024 16:57,CA,AMMONIA,0.39
1/15/2024,2/14/2024,2/15/2024 16:57,CA,DRY,0.38
1/15/2024,2/14/2024,2/15/2024 16:57,CA,LIQUID,0.38
1/15/2024,2/14/2024,2/15/2024 16:57,CA,AMMONIA,0.38
1/31/2024,2/14/2024,2/15/2024 16:57,CA,DRY,0.38
1/31/2024,2/14/2024,2/15/2024 16:57,CA,LIQUID,0.38
1/31/2024,2/14/2024,2/15/2024 16:57,CA,AMMONIA,0.38
2/15/2024,2/29/2024,2/15/2024 16:57,CA,DRY,0.42
2/15/2024,2/29/2024,2/15/2024 16:57,CA,LIQUID,0.42
2/15/2024,2/29/2024,2/15/2024 16:57,CA,AMMONIA,0.42
