effectiveDate,expirationDate,lastUpdateDate,Country,productGroup,fsc
2023-04-28,2023-05-15,2025-03-31 16:13:37,CA,DRY,0.380
2023-04-28,2023-05-15,2025-03-31 16:13:37,CA,LIQUID,0.380
2023-04-28,2023-05-15,2025-03-31 16:13:37,CA,AMMONIA,0.380
2023-05-15,2023-05-31,2025-03-31 16:13:37,CA,DRY,0.360
2023-05-15,2023-05-31,2025-03-31 16:13:37,CA,LIQUID,0.360
2023-05-15,2023-05-31,2025-03-31 16:13:37,CA,AMMONIA,0.360
2023-05-31,2023-06-15,2025-03-31 16:13:37,CA,DRY,0.370
2023-05-31,2023-06-15,2025-03-31 16:13:37,CA,LIQUID,0.370
2023-05-31,2023-06-15,2025-03-31 16:13:37,CA,AMMONIA,0.370
2023-06-15,2023-06-30,2025-03-31 16:13:37,CA,DRY,0.350
2023-06-15,2023-06-30,2025-03-31 16:13:37,CA,LIQUID,0.350
2023-06-15,2023-06-30,2025-03-31 16:13:37,CA,AMMONIA,0.350
2023-06-30,2023-07-14,2025-03-31 16:13:37,CA,DRY,0.350
2023-06-30,2023-07-14,2025-03-31 16:13:37,CA,LIQUID,0.350
2023-06-30,2023-07-14,2025-03-31 16:13:37,CA,AMMONIA,0.350
2023-07-14,2023-07-31,2025-03-31 16:13:37,CA,DRY,0.350
2023-07-14,2023-07-31,2025-03-31 16:13:37,CA,LIQUID,0.350
2023-07-14,2023-07-31,2025-03-31 16:13:37,CA,AMMONIA,0.350
2023-07-31,2023-08-15,2025-03-31 16:13:37,CA,DRY,0.380
2023-07-31,2023-08-15,2025-03-31 16:13:37,CA,LIQUID,0.380
2023-07-31,2023-08-15,2025-03-31 16:13:37,CA,AMMONIA,0.380
2023-08-15,2023-08-31,2025-03-31 16:13:37,CA,DRY,0.440
2023-08-15,2023-08-31,2025-03-31 16:13:37,CA,LIQUID,0.440
2023-08-15,2023-08-31,2025-03-31 16:13:37,CA,AMMONIA,0.440
2023-08-31,2023-09-15,2025-03-31 16:13:37,CA,DRY,0.450
2023-08-31,2023-09-15,2025-03-31 16:13:37,CA,LIQUID,0.450
2023-08-31,2023-09-15,2025-03-31 16:13:37,CA,AMMONIA,0.450
2023-09-15,2023-09-16,2025-03-31 16:13:37,CA,DRY,0.440
2023-09-15,2023-09-16,2025-03-31 16:13:37,CA,LIQUID,0.440
2023-09-15,2023-09-16,2025-03-31 16:13:37,CA,AMMONIA,0.440
2023-09-16,2023-09-30,2025-03-31 16:13:37,CA,DRY,0.470
2023-09-16,2023-09-30,2025-03-31 16:13:37,CA,LIQUID,0.470
2023-09-16,2023-09-30,2025-03-31 16:13:37,CA,AMMONIA,0.470
