effectiveDate,expirationDate,lastUpdateDate,Country,productGroup,fsc
1/16/2023,1/31/2023,2/15/2024 16:57,US,METHANOL,0.345
2/1/2023,2/15/2023,2/15/2024 16:57,US,METHANOL,0.345
2/16/2023,2/28/2023,2/15/2024 16:57,US,METHANOL,0.34
3/1/2023,3/15/2023,2/15/2024 16:57,US,METHANOL,0.32
3/16/2023,3/31/2023,2/15/2024 16:57,US,METHANOL,0.315
4/1/2023,4/15/2023,2/15/2024 16:57,US,METHANOL,0.305
4/16/2023,4/30/2023,2/15/2024 16:57,US,METHANOL,0.3
5/1/2023,5/15/2023,2/15/2024 16:57,US,METHANOL,0.3
5/16/2023,5/31/2023,2/15/2024 16:57,US,METHANOL,0.285
6/1/2023,6/15/2023,2/15/2024 16:57,US,METHANOL,0.275
6/16/2023,6/30/2023,2/15/2024 16:57,US,METHANOL,0.27
7/1/2023,7/15/2023,2/15/2024 16:57,US,METHANOL,0.27
7/16/2023,7/31/2023,2/15/2024 16:57,US,METHANOL,0.265
8/1/2023,8/15/2023,2/15/2024 16:57,US,METHANOL,0.285
8/16/2023,8/31/2023,2/15/2024 16:57,US,METHANOL,0.32
9/1/2023,9/15/2023,2/15/2024 16:57,US,METHANOL,0.33
9/16/2023,9/30/2023,2/15/2024 16:57,US,METHANOL,0.34
10/1/2023,10/15/2023,2/15/2024 16:57,US,METHANOL,0.35
10/16/2023,10/31/2023,2/15/2024 16:57,US,METHANOL,0.34
11/1/2023,11/15/2023,2/15/2024 16:57,US,METHANOL,0.335
11/16/2023,11/30/2023,2/15/2024 16:57,US,METHANOL,0.32
12/1/2023,12/15/2023,2/15/2024 16:57,US,METHANOL,0.305
12/16/2023,12/31/2023,2/15/2024 16:57,US,METHANOL,0.29
1/1/2023,1/15/2023,2/15/2024 16:57,US,METHANOL,0.28
1/16/2024,1/31/2024,2/15/2024 16:57,US,METHANOL,0.275
2/1/2024,2/15/2024,2/15/2024 16:57,US,METHANOL,0.275
2/16/2024,2/29/2024,2/15/2024 16:57,US,METHANOL,0.29
