locationName,locationOwnerId,locationOwner,address,cityState,zipcode,splc,country,latitude,longitude,inboundModes,outboundModes,servicingCarriers,logisticsProductGroupName,qtyUnit,qty
THATCHER COMPANY (SALT LAKE CITY),0017000000yW3nS,THATCHER COMPANY,1905 W FORTUNE RD,"SALT LAKE CITY, UT",84104,762800,US,40.7466,-111.9418,RAIL,RAIL,"",METHANOL,GAM,0
OCCIDENTAL CHEMICAL (OATVILLE),0017000000yIQvB,OCCIDENTAL CHEMICAL CORPORATION,6200 S RIDGE RD,"OATVILLE, KS",67215,588486,US,37.6295,-97.4326,RAIL,RAIL,"",METHANOL,GAM,23276400
PERSTORP POLYOLS (TOLEDO),00170000012TAw3,PERSTORP POLYOLS INC,600 MATZINGER RD,"TOLEDO, OH",43612,343100,US,41.7081,-83.5617,TRUCK|RAIL,TRUCK|RAIL,"",METHANOL,GAM,66504000
HAMPEL OIL (CARNEY),00170000013kTwL,HAMPEL OIL DISTRIBUTORS INC,E 810 RD,"CARNEY, OK",74832,"",US,35.8128,-97.013,TRUCK,TRUCK,"",METHANOL,GAM,0
ARCLIN USA (ANDALUSIA),0017000000yIUlr,ARCLIN USA LLC,14139 US HIGHWAY 84,"ANDALUSIA, AL",36421,"",US,31.3416,-86.5259,TRUCK,TRUCK,"",METHANOL,GAM,9975600
HEXION INC (SOUTH GLENS FALLS),0017000000yIW2f,HEXION INC,64 FERNAN RD,"SOUTH GLENS FALLS, NY",12803,"",US,43.2826,-73.6029,TRUCK,TRUCK,"",METHANOL,GAM,18288600
HAMPEL OIL (SAYRE),00170000013kTwL,HAMPEL OIL DISTRIBUTORS INC,18676 HWY 152,"SAYRE, OK",73662,636730,US,35.2997,-99.6341,TRUCK|RAIL,TRUCK|RAIL,"",METHANOL,GAM,0
RHINEHART OIL (HOOPER),0017000001UuM0J,RHINEHART OIL COMPANY INC,1500 W 2550 S,"HOOPER, UT",84401,761560,US,41.216,-111.997,RAIL,RAIL,"",METHANOL,GAM,0
CAMCO MANUFACTURING (GREENSBORO),0010g00001aLjMN,CAMCO MANUFACTURING INC,121 LANDMARK DR,"GREENSBORO, NC",27409,"",US,36.0946,-79.976,TRUCK,TRUCK,"",METHANOL,GAM,0
BENTLY NEVADA (MINDEN),0010g00001Ydf9N,BENTLY NEVADA LLC,1350 BUCKEYE RD,"MINDEN, NV",89423,"",US,38.9654,-119.734,TRUCK,TRUCK,"",METHANOL,GAM,0
LYONDELLBASELL ACETYLS (LA PORTE),0017000000yIUe9,LYONDELLBASELL ACETYLS LLC,1515 MILLER CUT OFF RD,"LA PORTE, TX",77571,"",US,29.7173,-95.0682,TRUCK,TRUCK,"",METHANOL,GAM,99756000
INTERSTATE CHEMICAL (CHANNAHON),0017000000yIUc7,INTERSTATE CHEMICAL COMPANY INC,23247 W EAMES ST,"CHANNAHON, IL",60410,384144,US,41.4319,-88.2259,RAIL,RAIL,"",METHANOL,GAM,0
VIRGINIA BIODIESEL (COLOGNE),0017000001OOyuq,VIRGINIA BIODIESEL REFINERY LLC,7475 READY MIX DR,"COLOGNE, VA",23181,"",US,37.5868,-76.8569,TRUCK,TRUCK,"",METHANOL,GAM,665040
AG PROCESSING (ALGONA),0017000000yW3ki,AG PROCESSING INC,2108 140TH AVE,"ALGONA, IA",50511,541160,US,43.0719,-94.2266,RAIL|TRUCK,RAIL|TRUCK,"",METHANOL,GAM,11970720
REG MASON (MASON CITY),0017000001UuFVP,REG MASON CITY,4172 19TH ST SW,"MASON CITY, IA",50401,"",US,43.1362,-93.2648,TRUCK,TRUCK,"",METHANOL,GAM,2992680
BRENNTAG PACIFIC (CHEYENNE),0017000001SOPmk,BRENNTAG PACIFIC INC,6527 BERWICK DRIVE,"CHEYENNE, WY",82007,"",US,41.0586,-104.8908,TRUCK,TRUCK,"",METHANOL,GAM,0
BRENNTAG GREAT (FALCON HEIGHTS),0017000000yIPa3,BRENNTAG GREAT LAKES LLC,2130 ENERGY PARK DR,"FALCON HEIGHTS, MN",55108,504600,US,44.9801,-93.1768,RAIL,RAIL,"",METHANOL,GAM,0
CARGILL INCORPORATED (IOWA FALLS),0017000000yIV1J,CARGILL INCORPORATED,692 INDUSTRIAL PARK RD,"IOWA FALLS, IA",50126,"",US,42.5146,-93.2619,TRUCK,TRUCK,"",METHANOL,GAM,3657720
MONSANTO COMPANY (MUSCATINE),0017000000yIUuS,MONSANTO COMPANY,2500 WIGGINS RD,"MUSCATINE, IA",52761,"",US,41.3505,-91.0834,TRUCK,TRUCK,"",METHANOL,GAM,0
HAMPEL OIL (CASHION),00170000013kTwL,HAMPEL OIL DISTRIBUTORS INC,26512 E 860 RD,"CASHION, OK",73016,"",US,35.7901,-97.6726,TRUCK,TRUCK,"",METHANOL,GAM,0
HERO BX (ERIE),0010g00001cXi7C,HERO BX,1540 E LAKE RD STE 300,"ERIE, PA",16511,214130,US,42.1574,-80.0127,RAIL,RAIL,"",METHANOL,GAM,4655280
WEBB CHEMICAL (NORTHWOOD),0017000001KuqRM,WEBB CHEMICAL SERVICES CORP,3332 ST LAWRENCE DR,"NORTHWOOD, OH",43605,343100,US,41.6417,-83.511,RAIL,RAIL,"",METHANOL,GAM,0
EASTMAN CHEMICAL (KINGSPORT),0017000001AizoD,EASTMAN CHEMICAL CO,200 S WILCOX DR,"KINGSPORT, TN",37660,421350,US,36.5477,-82.5556,RAIL,RAIL,"",METHANOL,GAM,73154400
THE ANDERSONS (TOLEDO),0017000000yIUq2,THE ANDERSONS INC,440 KUHLMAN DR,"TOLEDO, OH",43609,343100,US,41.6302,-83.5809,RAIL,RAIL,"",METHANOL,GAM,0
"DELRIN USA, (PARKERSBURG)",0014u000025vCzT,"DELRIN USA, LLC",8480 DUPONT RD,"PARKERSBURG, WV",77507,"",US,39.2677,-81.6692,TRUCK,TRUCK,"",METHANOL,GAM,43227600
BAKELITE CHEMICALS (ALBANY),0014u00001wIsM6,BAKELITE CHEMICALS LLC,2190 OLD SALEM RD NE,"ALBANY, OR",97321,854542,US,44.6381,-123.1106,TRUCK,TRUCK,"",METHANOL,GAM,11970720
MUSKET CORPORATION (BIG SPRING),0017000001GQTUq,MUSKET CORPORATION,3400 W 7TH ST,"BIG SPRING, TX",79720,679680,US,32.2443,-101.4629,RAIL,RAIL,"",METHANOL,GAM,0
HEXION INC (FAYETTEVILLE),0017000000yIW2f,HEXION INC,1411 INDUSTRIAL DR,"FAYETTEVILLE, NC",28301,"",US,35.0292,-78.8622,TRUCK,TRUCK,"",METHANOL,GAM,29926800
CELANESE SALES (IRVING),0014u00001vTdKU,CELANESE SALES US LTD,222 LAS COLINAS BLVD W STE 900N,"IRVING, TX",75039,"",US,32.8712,-96.9435,TRUCK,TRUCK,"",METHANOL,GAM,109731600
THATCHER COMPANY (GLENDIVE),0017000000yW3nS,THATCHER COMPANY,2604 W TOWNE ST,"GLENDIVE, MT",59330,704659,US,47.1055,-104.7349,RAIL,RAIL,"",METHANOL,GAM,0
DAXX LLC (MIDLAND),0017000000yIVx0,DAXX LLC,10501 E HWY 80,"MIDLAND, TX",79706,"",US,31.959,-102.0449,TRUCK,TRUCK,"",METHANOL,GAM,0
GEORGIA-PACIFIC CONSUMER (ZACHARY),0017000000yIUkz,GEORGIA-PACIFIC CONSUMER OPERATIONS LLC,1000 W MT PLEASANT RD,"ZACHARY, LA",70791,"",US,30.6498,-91.2777,TRUCK,TRUCK,"",METHANOL,GAM,0
LYONDELLBASELL ACETYLS (CHANNELVIEW),0017000000yIUe9,LYONDELLBASELL ACETYLS LLC,2502 SHELDON RD,"CHANNELVIEW, TX",77530,"",US,29.819,-95.1241,TRUCK,TRUCK,"",METHANOL,GAM,136333200
ACCRON LP (HEMPSTEAD),0014u00001zo2Ti,ACCRON LP,38106 FM 3346 RD,"HEMPSTEAD, TX",77445,"",US,30.0975,-96.0576,TRUCK,TRUCK,"",METHANOL,GAM,0
HEXION INC (RIEGELWOOD),0017000000yIW2f,HEXION INC,333 NEILS EDDY RD,"RIEGELWOOD, NC",28456,"",US,34.3267,-78.2001,TRUCK,TRUCK,"",METHANOL,GAM,7980480
TRANSFLO (COLUMBUS) (COLUMBUS),0017000000yIRZv,TRANSFLO,3100 LOCKBOURNE RD,"COLUMBUS, OH",43207,353100,US,39.9022,-82.9669,RAIL|TRUCK,RAIL|TRUCK,"",METHANOL,GAM,0
BIOENERGY DEVELOPMENT (MEMPHIS),00170000011HVjL,BIOENERGY DEVELOPMENT GROUP LLC,2227 DEADRICK AVE,"MEMPHIS, TN",38114,439940,US,35.0983,-89.9837,RAIL|TRUCK,RAIL|TRUCK,"",METHANOL,GAM,3990240
THE DOW (PLAQUEMINE),0017000000yIUpy,THE DOW CHEMICAL COMPANY,21925 LOUISIANA 1,"PLAQUEMINE, LA",70764,"",US,30.3161,-91.2381,TRUCK,TRUCK,"",METHANOL,GAM,17956080
MULTI-CHEM GROUP (SONORA),0017000001OOXl2,MULTI-CHEM GROUP LLC,349 PVT RD 4473,"SONORA, TX",76950,"",US,30.5716,-100.6296,TRUCK,TRUCK,"",METHANOL,GAM,0
CHEVRON PHILLIPS (BORGER),00170000013lTmY,CHEVRON PHILLIPS CHEMICAL COMPANY LP,1 PRAIRIE ST,"BORGER, TX",79007,671685,US,35.6645,-101.4059,RAIL,RAIL,"",METHANOL,GAM,0
