locationName,occupantType,occupantPartyId,occupantPartyName,statesTheyCompeteIn
RIO VALLEY (EL PASO),Customer,0017000001OOWOy,RIO VALLEY BIOFUELS LLC,TX
WEBB CHEMICAL (DAVENPORT),Customer,0017000001KuqRM,WEBB CHEMICAL SERVICES CORP,IN|MI|IA|WI|OH
WEBB CHEMICAL (MUSKEGON),Customer,0017000001KuqRM,WEBB CHEMICAL SERVICES CORP,IN|MI|IA|WI|OH
WEBB CHEMICAL (NORTHWOOD),Customer,0017000001KuqRM,WEBB CHEMICAL SERVICES CORP,IN|MI|IA|WI|OH
HYDRITE CHEMICAL (COTTAGE GROVE),Customer,0017000001KuqRM,WEBB CHEMICAL SERVICES CORP,IN|MI|IA|WI|OH
JACKSON OIL (INDIANAPOLIS),Customer,0017000001KuqRM,WEBB CHEMICAL SERVICES CORP,IN|MI|IA|WI|OH
MITSUBISHI CHEMICAL (MEMPHIS),Customer,0014u00001ozyUu,MITSUBISHI CHEMICAL AMERICA INC,TN
NUTRASWEET (AUGUSTA) (AUGUSTA),Customer,0017000001IgPkP,NUTRASWEET,GA
TRANSFLO (COLUMBUS) (COLUMBUS),Customer,0017000000yIVvb,MITSUBISHI GAS CHEMICAL AMERICA INC,NC|OH
CHEMSERVE TERMINAL (WILMINGTON),Customer,0017000000yIVvb,MITSUBISHI GAS CHEMICAL AMERICA INC,NC|OH
GEORGIA-PACIFIC CONSUMER (PALATKA),Customer,00170000013kzYo,GEORGIA-PACIFIC CONSUMER OPERATIONS LLC (PALATKA FL),FL
SABIC AMERICAS (SELKIRK),Customer,0017000000yIUrD,SABIC AMERICAS INC,NY
BRENNTAG SOUTHWEST (HOUSTON),Customer,0017000000yIV1j,BRENNTAG SOUTHWEST INC,LA|TX
BRENNTAG SOUTHWEST (IBERVILLE),Customer,0017000000yIV1j,BRENNTAG SOUTHWEST INC,LA|TX
REG NEWTON (NEWTON),Customer,0017000001Kvfyx,REG NEWTON LLC,IA
FUTUREFUEL CHEMICAL (BATESVILLE),Customer,0017000000yIUca,FUTUREFUEL CHEMICAL COMPANY,AR
LEAF RIVER (BELLEVILLE),Customer,0017000000yIUkv,LEAF RIVER CELLULOSE LLC,MS
VP RACING (MANHATTAN),Customer,0014u000029eIu9,VP HEARTLAND,KS
BRENNTAG PACIFIC (SOUTH GATE),Customer,0017000001SOPmk,BRENNTAG PACIFIC INC,WY|OR|CA
BRENNTAG PACIFIC (CHEYENNE),Customer,0017000001SOPmk,BRENNTAG PACIFIC INC,WY|OR|CA
BRENNTAG PACIFIC (PORTLAND),Customer,0017000001SOPmk,BRENNTAG PACIFIC INC,WY|OR|CA
ARGUINDEGUI OIL (EDINBURG),Customer,0017000000zxHux,ARGUINDEGUI OIL CO II LTD,TX
ARGUINDEGUI OIL (LAREDO),Customer,0017000000zxHux,ARGUINDEGUI OIL CO II LTD,TX
ARGUINDEGUI OIL (BEEVILLE),Customer,0017000000zxHux,ARGUINDEGUI OIL CO II LTD,TX
VERTELLUS SPECIALTIES (INDIANAPOLIS),Customer,00170000012xxr3,VERTELLUS SPECIALTIES INC,IN
OWENSBORO GRAIN (OWENSBORO),Customer,0014u000026hXCn,OWENSBORO GRAIN COMPANY LLC,KY
BRENNTAG GREAT (CHICAGO),Customer,0017000000yIPa3,BRENNTAG GREAT LAKES,IL
GEORGIA-PACIFIC CONSUMER (BIRKENFELD),Customer,00170000013l0dz,GEORGIA-PACIFIC CONSUMER PRODUCTS LP (WAUNA MILL - CLATSKANIE OR),OR
TEXAS PRIDE (SPRINGTOWN),Customer,0014u00001zpIKB,TEXAS PRIDE FUELS,TX
WATER TECH (FORT SMITH),Customer,0014u0000232mt7,WATER TECH INC,AR|OK
WATER TECH (GEORGETOWN),Customer,0014u0000232mt7,WATER TECH INC,AR|OK
WATER TECH (GRAVEL HILL),Customer,0014u0000232mt7,WATER TECH INC,AR|OK
WATER TECH (BACHE),Customer,0014u0000232mt7,WATER TECH INC,AR|OK
GEORGIA-PACIFIC CHEMICALS (PERRY),Customer,0014u00001wIxvE,GEORGIA-PACIFIC CHEMICALS LLC,FL
INCOBRASA INDUSTRIES (GILMAN),Customer,0014u000024A3HZ,INCOBRASA INDUSTRIES LTD,IL
NALCO CHAMPION (SUGARLAND),Customer,0017000001OOnX2,NALCO CHAMPION,TX
REG SENECA (SENECA),Customer,0017000000yIUeP,REG SENECA LLC,IL
BIOENERGY DEVELOPMENT (MEMPHIS),Customer,00170000011HVjL,BIOENERGY DEVELOPMENT GROUP LLC,TN
KOCH INDUSTRIES (BREWTON),Customer,0017000000yIUl0,KOCH INDUSTRIES INC DBA GEORGIA-PACIFIC BREWTON LLC,AL
DOW SILICONES (FREEPORT),Customer,00170000012yAST,DOW SILICONES CORPORATION,TX|MI|KY
DOW SILICONES (DEER PARK),Customer,00170000012yAST,DOW SILICONES CORPORATION,TX|MI|KY
DOW SILICONES (CARROLLTON),Customer,00170000012yAST,DOW SILICONES CORPORATION,TX|MI|KY
DOW SILICONES (MIDLAND),Customer,00170000012yAST,DOW SILICONES CORPORATION,TX|MI|KY
HERO BX (CLINTON),Customer,0010g00001cXi7C,HERO BX,PA|IA
IOWA RENEWABLE (GRACE HILL),Customer,0010g00001cXi7C,HERO BX,PA|IA
HERO BX (ERIE),Customer,0010g00001cXi7C,HERO BX,PA|IA
CHAMPIONX LLC (ODESSA),Customer,0010g00001m4T5w,CHAMPIONX LLC,TX
CASCADE COLUMBIA (SEATTLE),Customer,0014u0000275Ggo,CASCADE COLUMBIA DISTRIBUTION,WA
DUONIX BEATRICE (BEATRICE),Customer,0017000001J5pN9,DUONIX BEATRICE LP,NE
