locationName,logisticsProductGroupName,occupantPartyName,occupantPartyId,qty,qtyUnit
TAMINCO US (MOBILE),METHANOL,KOCH METHANOL LLC,0017000000yIUw1,0,GAM
TRANSFLO (JACKSONVILLE),METHANOL,KOCH METHANOL LLC,0017000000yIUw1,0,GAM
Colonial Terminal - Savannah,METHANOL,KOCH METHANOL LLC,0017000000yIUw1,0,GAM
MANLY TERMINAL (MANLY),METHANOL,KOCH METHANOL LLC,0017000000yIUw1,0,GAM
HARCROS CHEMICALS (KANSAS CITY),METHANOL,KOCH METHANOL LLC,0017000000yIUw1,0,GAM
IMTT - Terminal,METHANOL,KOCH METHANOL LLC,0017000000yIUw1,0,GAM
Praxair - Geismar,METHANOL,KOCH METHANOL LLC,0017000000yIUw1,0,GAM
KOCH METHANOL (ST JAMES),METHANOL,KOCH METHANOL LLC,0017000000yIUw1,0,GAM
DFI INC (KANSAS CITY),METHANOL,KOCH METHANOL LLC,0017000000yIUw1,0,GAM
CHEMSERVE (WILMINGTON),METHANOL,KOCH METHANOL LLC,0017000000yIUw1,0,GAM
TRANSFLO (COLUMBUS),METHANOL,KOCH METHANOL LLC,0017000000yIUw1,0,GAM
JAGUAR TRANSPORT (EL RENO),METHANOL,KOCH METHANOL LLC,0017000000yIUw1,0,GAM
PT RAILROAD (PORTLAND),METHANOL,KOCH METHANOL LLC,0017000000yIUw1,0,GAM
Dow Silicones Corporation - Elgin,METHANOL,KOCH METHANOL LLC,0017000000yIUw1,0,GAM
Kinder Morgan Terminal - Charleston,METHANOL,KOCH METHANOL LLC,0017000000yIUw1,0,GAM
ITC (DEER PARK),METHANOL,KOCH METHANOL LLC,0017000000yIUw1,0,GAM
Millenium Terminal - La Porte,METHANOL,KOCH METHANOL LLC,0017000000yIUw1,0,GAM
Norfolk - Kinder Morgan Terminal,METHANOL,KOCH METHANOL LLC,0017000000yIUw1,0,GAM
