locationName,occupantPartyId,occupantParty,logisticsProductGroupName,qty,qtyUnit
THATCHER COMPANY (SALT LAKE CITY),0017000000yW3nS,THATCHER COMPANY,METHANOL,0,GAM
OCCIDENTAL CHEMICAL (OATVILLE),0017000000yIQvB,OCCIDENTAL CHEMICAL CORPORATION,METHANOL,23276400,GAM
PERSTORP POLYOLS (TOLEDO),00170000012TAw3,PERSTORP POLYOLS INC,METHANOL,66504000,GAM
HAMPEL OIL (CARNEY),00170000013kTwL,HAMPEL OIL DISTRIBUTORS INC,METHANOL,0,GAM
ARCLIN USA (ANDALUSIA),0017000000yIUlr,ARCLIN USA LLC,METHANOL,9975600,GAM
HEXION INC (SOUTH GLENS FALLS),0017000000yIW2f,HEXION INC,METHANOL,18288600,GAM
HAMPEL OIL (SAYRE),00170000013kTwL,HAMPEL OIL DISTRIBUTORS INC,METHANOL,0,GAM
RHINEHART OIL (HOOPER),0017000001UuM0J,RHINEHART OIL COMPANY INC,METHANOL,0,GAM
CAMCO MANUFACTURING (GREENSBORO),0010g00001aLjMN,CAMCO MANUFACTURING INC,METHANOL,0,GAM
BENTLY NEVADA (MINDEN),0010g00001Ydf9N,BENTLY NEVADA LLC,METHANOL,0,GAM
LYONDELLBASELL ACETYLS (LA PORTE),0017000000yIUe9,LYONDELLBASELL ACETYLS LLC,METHANOL,99756000,GAM
INTERSTATE CHEMICAL (CHANNAHON),0017000000yIUc7,INTERSTATE CHEMICAL COMPANY INC,METHANOL,0,GAM
VIRGINIA BIODIESEL (COLOGNE),0017000001OOyuq,VIRGINIA BIODIESEL REFINERY LLC,METHANOL,665040,GAM
AG PROCESSING (ALGONA),0017000000yW3ki,AG PROCESSING INC,METHANOL,11970720,GAM
REG MASON (MASON CITY),0017000001UuFVP,REG MASON CITY,METHANOL,2992680,GAM
BRENNTAG PACIFIC (CHEYENNE),0017000001SOPmk,BRENNTAG PACIFIC INC,METHANOL,0,GAM
BRENNTAG GREAT (FALCON HEIGHTS),0017000000yIPa3,BRENNTAG GREAT LAKES LLC,METHANOL,0,GAM
CARGILL INCORPORATED (IOWA FALLS),0017000000yIV1J,CARGILL INCORPORATED,METHANOL,3657720,GAM
MONSANTO COMPANY (MUSCATINE),0017000000yIUuS,MONSANTO COMPANY,METHANOL,0,GAM
HAMPEL OIL (CASHION),00170000013kTwL,HAMPEL OIL DISTRIBUTORS INC,METHANOL,0,GAM
HERO BX (ERIE),0010g00001cXi7C,HERO BX,METHANOL,4655280,GAM
