origin_city_state,dest_city_state,comm,orig_city,orig_state,dest_city,dest_state
"ALBANY, NY","JOLIETTE, QC",UREA,ALBANY,NY,JOLIETTE,QC
"ALBANY, NY","KIDDERS, ME",UREA,ALBANY,NY,KIDDERS,ME
"ATLANTA, GA","CULPEPER, VA",MAP,ATLANTA,GA,CULPEPER,VA
"BATON ROUGE, LA","GEISMAR, LA",METHANOL,BATON ROUGE,LA,GEISMAR,LA
"BATON ROUGE, LA","GRANDE PRAIRIE, AB",METHANOL,BATON ROUGE,LA,GRANDE PRAIRIE,AB
"BATON ROUGE, LA","INTERNATIONAL FALLS, MN",METHANOL,BATON ROUGE,LA,INTERNATIONAL FALLS,MN
"BATON ROUGE, LA","KAMLOOPS, BC",METHANOL,BATON ROUGE,LA,KAMLOOPS,BC
"BATON ROUGE, LA","LEMONT, IL",METHANOL,BATON ROUGE,LA,LEMONT,IL
"BATON ROUGE, LA","LEVIS, QC",METHANOL,BATON ROUGE,LA,LEVIS,QC
"BATON ROUGE, LA","LONGUEUIL, QC",METHANOL,BATON ROUGE,LA,LONGUEUIL,QC
"BATON ROUGE, LA","NORTH CHICAGO, IL",METHANOL,BATON ROUGE,LA,NORTH CHICAGO,IL
"BATON ROUGE, LA","RED DEER, AB",METHANOL,BATON ROUGE,LA,RED DEER,AB
"BATON ROUGE, LA","SAINT JOHN, NB",METHANOL,BATON ROUGE,LA,SAINT JOHN,NB
"BATON ROUGE, LA","ST HYACINTHE, QC",METHANOL,BATON ROUGE,LA,ST HYACINTHE,QC
"BATON ROUGE, LA","TAYLORSVILLE, MS",METHANOL,BATON ROUGE,LA,TAYLORSVILLE,MS
"BATON ROUGE, LA","THOROLD, ON",METHANOL,BATON ROUGE,LA,THOROLD,ON
"BATON ROUGE, LA","TORONTO CARGOFLO, ON",METHANOL,BATON ROUGE,LA,TORONTO CARGOFLO,ON
"BATON ROUGE, LA","VAL DOR, QC",METHANOL,BATON ROUGE,LA,VAL DOR,QC
"BATON ROUGE, LA","WINNIPEG, MB",METHANOL,BATON ROUGE,LA,WINNIPEG,MB
