carrier,effectiveDate,expirationDate,lastUpdateDate,updatedBy,fuelSurchargeRate,currency,originCountry,destinationCountry,productGroup
BNSF,2/1/2024,3/27/2024,3/28/2024 14:19,Abraham Rodriguez,0.19,USD,US,US,ALL
CN,2/1/2024,3/27/2024,3/28/2024 14:19,Abraham Rodriguez,0.5175,CAD,CA,CA,ALL
CN,2/1/2024,3/27/2024,3/28/2024 14:19,Abraham Rodriguez,0.435,USD,CA,US,ALL
CN,2/1/2024,3/27/2024,3/28/2024 14:19,Abraham Rodriguez,0.435,USD,US,US,ALL
CPRS,2/1/2024,3/27/2024,3/28/2024 14:19,Abraham Rodriguez,0.4468,CAD,CA,CA,ALL
CPRS,2/1/2024,3/27/2024,3/28/2024 14:19,Abraham Rodriguez,0.335,USD,US,US,ALL
CPRS,2/1/2024,3/27/2024,3/28/2024 14:19,Abraham Rodriguez,0.335,USD,CA,US,ALL
CSXT,2/1/2024,3/27/2024,3/28/2024 14:19,Abraham Rodriguez,0,USD,US,US,DRY
CSXT,2/1/2024,3/27/2024,3/28/2024 14:19,Abraham Rodriguez,0,USD,US,US,LIQUID
CSXT,2/1/2024,3/27/2024,3/28/2024 14:19,Abraham Rodriguez,0,USD,US,US,AMMONIA
CSXT,2/1/2024,3/27/2024,3/28/2024 14:19,Abraham Rodriguez,0,USD,US,US,DEF
CSXT,2/1/2024,3/27/2024,3/28/2024 14:19,Abraham Rodriguez,0.5,USD,US,US,METHANOL
GWI,2/1/2024,3/27/2024,3/28/2024 14:19,Abraham Rodriguez,0.64,USD,US,US,ALL
KCS,2/1/2024,3/27/2024,3/28/2024 14:19,Abraham Rodriguez,0.46,USD,US,US,ALL
LSRC,2/1/2024,3/27/2024,3/28/2024 14:19,Abraham Rodriguez,0.5,USD,US,US,ALL
NS,2/1/2024,3/27/2024,3/28/2024 14:19,Abraham Rodriguez,0.37,USD,US,US,ALL
TCWR,2/1/2024,3/27/2024,3/28/2024 14:19,Abraham Rodriguez,0.38,USD,US,US,ALL
UP,2/1/2024,3/27/2024,3/28/2024 14:19,Abraham Rodriguez,0.38,USD,US,US,ALL
WSOR,2/1/2024,3/27/2024,3/28/2024 14:19,Abraham Rodriguez,0.6,USD,US,US,ALL
BNSF,3/28/2024,4/29/2024,3/28/2024 14:19,Abraham Rodriguez,0.2,USD,US,US,ALL
CN,3/28/2024,4/29/2024,3/28/2024 14:19,Abraham Rodriguez,0.5434,CAD,CA,CA,ALL
CN,3/28/2024,4/29/2024,3/28/2024 14:19,Abraham Rodriguez,0.4545,USD,CA,US,ALL
CN,3/28/2024,4/29/2024,3/28/2024 14:19,Abraham Rodriguez,0.4545,USD,US,US,ALL
CPRS,3/28/2024,4/29/2024,3/28/2024 14:19,Abraham Rodriguez,0.5057,CAD,CA,CA,ALL
CPRS,3/28/2024,4/29/2024,3/28/2024 14:19,Abraham Rodriguez,0.375,USD,US,US,ALL
CPRS,3/28/2024,4/29/2024,3/28/2024 14:19,Abraham Rodriguez,0.375,USD,CA,US,ALL
CSXT,3/28/2024,4/29/2024,3/28/2024 14:19,Abraham Rodriguez,0,USD,US,US,DRY
CSXT,3/28/2024,4/29/2024,3/28/2024 14:19,Abraham Rodriguez,0,USD,US,US,LIQUID
CSXT,3/28/2024,4/29/2024,3/28/2024 14:19,Abraham Rodriguez,0,USD,US,US,AMMONIA
CSXT,3/28/2024,4/29/2024,3/28/2024 14:19,Abraham Rodriguez,0,USD,US,US,DEF
CSXT,3/28/2024,4/29/2024,3/28/2024 14:19,Abraham Rodriguez,0.52,USD,US,US,METHANOL
GWI,3/28/2024,4/29/2024,3/28/2024 14:19,Abraham Rodriguez,0.66,USD,US,US,ALL
KCS,3/28/2024,4/29/2024,3/28/2024 14:19,Abraham Rodriguez,0.48,USD,US,US,ALL
LSRC,3/28/2024,4/29/2024,3/28/2024 14:19,Abraham Rodriguez,0.52,USD,US,US,ALL
NS,3/28/2024,4/29/2024,3/28/2024 14:19,Abraham Rodriguez,0.39,USD,US,US,ALL
TCWR,3/28/2024,4/29/2024,3/28/2024 14:19,Abraham Rodriguez,0.39,USD,US,US,ALL
UP,3/28/2024,4/29/2024,3/28/2024 14:19,Abraham Rodriguez,0.39,USD,US,US,ALL
WSOR,3/28/2024,4/29/2024,3/28/2024 14:19,Abraham Rodriguez,0.62,USD,US,US,ALL
BNSF,4/30/2024,,4/30/2024 10:29,Dirk Townsend,0.2,USD,US,US,ALL
CN,4/30/2024,,4/30/2024 10:29,Dirk Townsend,0.5372,CAD,CA,CA,ALL
CN,4/30/2024,,4/30/2024 10:29,Dirk Townsend,0.448,USD,CA,US,ALL
CN,4/30/2024,,4/30/2024 10:29,Dirk Townsend,0.448,USD,US,US,ALL
CN,4/30/2024,,4/30/2024 10:29,Dirk Townsend,0.448,USD,US,CA,ALL
CPRS,4/30/2024,,4/30/2024 10:29,Dirk Townsend,0.5091,CAD,CA,CA,ALL
CPRS,4/30/2024,,4/30/2024 10:29,Dirk Townsend,0.375,USD,US,US,ALL
CPRS,4/30/2024,,4/30/2024 10:29,Dirk Townsend,0.375,USD,CA,US,ALL
CPRS,4/30/2024,,4/30/2024 10:29,Dirk Townsend,0.375,USD,US,CA,ALL
CSXT,4/30/2024,,4/30/2024 10:29,Dirk Townsend,0,USD,US,US,DRY
CSXT,4/30/2024,,4/30/2024 10:29,Dirk Townsend,0,USD,US,US,LIQUID
CSXT,4/30/2024,,4/30/2024 10:29,Dirk Townsend,0,USD,US,US,AMMONIA
CSXT,4/30/2024,,4/30/2024 10:29,Dirk Townsend,0,USD,US,US,DEF
CSXT,4/30/2024,,4/30/2024 10:29,Dirk Townsend,0.51,USD,US,US,METHANOL
GWI,4/30/2024,,4/30/2024 10:29,Dirk Townsend,0.66,USD,US,US,ALL
KCS,4/30/2024,,4/30/2024 10:29,Dirk Townsend,0.48,USD,US,US,ALL
LSRC,4/30/2024,,4/30/2024 10:29,Dirk Townsend,0.51,USD,US,US,ALL
NS,4/30/2024,,4/30/2024 10:29,Dirk Townsend,0.38,USD,US,US,ALL
TCWR,4/30/2024,,4/30/2024 10:29,Dirk Townsend,0.39,USD,US,US,ALL
UP,4/30/2024,,4/30/2024 10:29,Dirk Townsend,0.39,USD,US,US,ALL
WSOR,4/30/2024,,4/30/2024 10:29,Dirk Townsend,0.62,USD,US,US,ALL
