ID_Company,RR,CompanyName
1,AA,ANN ARBOR RAILROAD
2,AB,AKRON BARBERTON CLUSTER RAILWAY CO.
3,ABL,ALAMEDA BELT LINE
4,ABR,"ATHENS LINE, THE"
5,ABS,ALABAMA SOUTHERN RAILROAD
6,ABWR,"ALABAMA WARRIOR RAILROAD, LLC"
7,ACJR,"ASHTABULA CARSON JEFFERSON RAILROAD CO., INC."
8,ACWR,"ABERDEEN, CAROLINA & WESTERN RAILWAY CO."
9,ADBF,ADRIAN & BLISSFIELD RAIL ROAD CO.
10,AERC,ALBANY & EASTERN RAILROAD CO.
11,AF,ALABAMA & FLORIDA RAILWAY CO.
12,AFR,AMADOR FOOTHILLS RAILROAD
13,AGCR,ALAMO GULF COAST RAILROAD CO.
14,AGR,"ALABAMA & GULF COAST RAILWAY, LLC"
15,AKDN,"ACADIANA RAILWAY COMPANY, INC."
16,AKMD,ARKANSAS MIDLAND RAILROAD
17,ALAB,ALABAMA RAILROAD CO.
18,ALM,"ARKANSAS, LOUISIANA & MISSISSIPPI RAILROAD CO., THE"
19,ALS,"ALTON & SOUTHERN RAILWAY CO., THE"
20,ALT,AIRLAKE TERMINAL RAILWAY COMPANY
21,AM,ARKANSAS AND MISSOURI RAILROAD CO.
22,AMTK,AMTRAK
23,AN,"AN RAILWAY, LLC"
24,ANR,ANGELINA & NECHES RIVER RAILROAD CO.
25,Any US RR,ANY US RR
26,AO,APPALACHIAN & OHIO RAILROAD INC.
27,AOK,ARKANSAS-OKLAHOMA RAILROAD INC.
28,AOR,"ALIQUIPPA & OHIO RIVER RAILROAD CO., THE"
29,APA,"APACHE RAILWAY CO., THE"
31,APNC,APPANOOSE COUNTY COMMUNITY RAILROAD CO.
32,APR,ALBERTA PRAIRIE RAILWAY
33,AR,ABERDEEN AND ROCKFISH RAILROAD CO.
34,ARA,ARCADE AND ATTICA RAILROAD CORP.
35,ARC,ALEXANDER RAILROAD CO.
37,ARR,ALASKA RAILROAD CORP.
38,ARS,ARKANSAS SOUTHERN RAILROAD
39,ARZC,ARIZONA & CALIFORNIA RAILROAD COMPANY
41,ASRY,ASHLAND RAILWAY CO.
42,ATLT,AT&L RAILROAD CO.
43,ATN,"ALABAMA & TENNESSEE RIVER RAILWAY, LLC"
44,ATR,ALLIANCE TERMINAL RAILROAD
45,ATW,"ATLANTIC AND WESTERN RAILWAY, LP"
46,AUT,AUTAUGA NORTHERN RAILROAD
47,AVR,ALLEGHENY VALLEY RAILROAD
48,AWRR,AUSTIN WESTERN RAILROAD
49,AWW,"ALGERS, WINSLOW AND WESTERN RY. CO."
50,AZCR,"ARIZONA CENTRAL RAILROAD, INC."
51,AZER,ARIZONA EASTERN RAILWAY CO.
52,BAP,"BUTTE, ANACONDA, & PACIFIC RAILWAY"
