"natural_key","exch_dt","end_dt","from_curcy_cd","to_curcy_cd","exch_rate","insert_dt"
AUD~BRL~Corporate~19-DEC-23,2023-12-19,2023-12-20,AUD,BRL,3.3087000,2023-12-19 13:38:31.000
AUD~CAD~Corporate~19-DEC-23,2023-12-19,2023-12-20,AUD,CAD,0.8975000,2023-12-19 13:38:31.000
AUD~CHF~Corporate~19-DEC-23,2023-12-19,2023-12-20,AUD,CHF,0.5816000,2023-12-19 13:38:31.000
AUD~CNY~Corporate~19-DEC-23,2023-12-19,2023-12-20,AUD,CNY,4.7510000,2023-12-19 13:38:31.000
AUD~EUR~Corporate~19-DEC-23,2023-12-19,2023-12-20,AUD,EUR,0.6134000,2023-12-19 13:38:31.000
AUD~GBP~Corporate~19-DEC-23,2023-12-19,2023-12-20,AUD,GBP,0.5299000,2023-12-19 13:38:31.000
AUD~MXN~Corporate~19-DEC-23,2023-12-19,2023-12-20,AUD,MXN,11.4965000,2023-12-19 13:38:31.000
AUD~PHP~Corporate~19-DEC-23,2023-12-19,2023-12-20,AUD,PHP,37.4146000,2023-12-19 13:38:31.000
AUD~SGD~Corporate~19-DEC-23,2023-12-19,2023-12-20,AUD,SGD,0.8929000,2023-12-19 13:38:31.000
AUD~USD~Corporate~19-DEC-23,2023-12-19,2023-12-20,AUD,USD,0.6698000,2023-12-19 13:38:31.000
AUD~UYU~Corporate~19-DEC-23,2023-12-19,2023-12-20,AUD,UYU,26.6993000,2023-12-19 13:38:31.000
BRL~AUD~Corporate~19-DEC-23,2023-12-19,2023-12-20,BRL,AUD,0.3022000,2023-12-19 13:38:31.000
BRL~CAD~Corporate~19-DEC-23,2023-12-19,2023-12-20,BRL,CAD,0.2712000,2023-12-19 13:38:31.000
BRL~CHF~Corporate~19-DEC-23,2023-12-19,2023-12-20,BRL,CHF,0.1758000,2023-12-19 13:38:31.000
BRL~CNY~Corporate~19-DEC-23,2023-12-19,2023-12-20,BRL,CNY,1.4359000,2023-12-19 13:38:31.000
BRL~EUR~Corporate~19-DEC-23,2023-12-19,2023-12-20,BRL,EUR,0.1854000,2023-12-19 13:38:31.000
BRL~GBP~Corporate~19-DEC-23,2023-12-19,2023-12-20,BRL,GBP,0.1602000,2023-12-19 13:38:31.000
BRL~MXN~Corporate~19-DEC-23,2023-12-19,2023-12-20,BRL,MXN,3.4746000,2023-12-19 13:38:31.000
BRL~PHP~Corporate~19-DEC-23,2023-12-19,2023-12-20,BRL,PHP,11.3079000,2023-12-19 13:38:31.000
BRL~SGD~Corporate~19-DEC-23,2023-12-19,2023-12-20,BRL,SGD,0.2699000,2023-12-19 13:38:31.000
BRL~UYU~Corporate~19-DEC-23,2023-12-19,2023-12-20,BRL,UYU,8.0694000,2023-12-19 13:38:31.000
CAD~AUD~Corporate~19-DEC-23,2023-12-19,2023-12-20,CAD,AUD,1.1143000,2023-12-19 13:38:31.000
CAD~BRL~Corporate~19-DEC-23,2023-12-19,2023-12-20,CAD,BRL,3.6868000,2023-12-19 13:38:31.000
CAD~CHF~Corporate~19-DEC-23,2023-12-19,2023-12-20,CAD,CHF,0.6480000,2023-12-19 13:38:31.000
CAD~CNY~Corporate~19-DEC-23,2023-12-19,2023-12-20,CAD,CNY,5.2939000,2023-12-19 13:38:31.000
CAD~EUR~Corporate~19-DEC-23,2023-12-19,2023-12-20,CAD,EUR,0.6835000,2023-12-19 13:38:31.000
CAD~GBP~Corporate~19-DEC-23,2023-12-19,2023-12-20,CAD,GBP,0.5905000,2023-12-19 13:38:31.000
CAD~MXN~Corporate~19-DEC-23,2023-12-19,2023-12-20,CAD,MXN,12.8101000,2023-12-19 13:38:31.000
