rateId,document,version,effectiveDate,expirationDate,lastUpdateDate,shippingStartDate,shippingEndDate,productGroup,originGroup,originId,destinationGroup,destinationId,rateFactorType,rate,currency,rateUom,loadQuantity,ratePerUom,mode,distanceUom,distanceLower,distanceUpper,destinationCountry,destinationLabel,originCountry,originLabel
"DRY_TRUCK_GUIDANCE|#|CATOOSA, OK|#|KS N|#|2024 Q2|#|DISTANCE|#|USD|#|ST|#|MI|#|60-9999",DRY_TRUCK_GUIDANCE,3,2024-10-28,,2024-10-28 08:59:09,2024-04-01,2024-06-30,DRY,False,"CATOOSA, OK",True,KS N,DISTANCE,2.4,USD,ST,25,2.4,TRUCK,MI,60,9999,US,LocationGroup,US,CityState
"DRY_TRUCK_GUIDANCE|#|ENID, OK|#|KS N|#|2024 Q2|#|DISTANCE|#|USD|#|ST|#|MI|#|60-9999",DRY_TRUCK_GUIDANCE,3,2024-10-28,,2024-10-28 08:59:09,2024-04-01,2024-06-30,DRY,False,"ENID, OK",True,KS N,DISTANCE,2.4,USD,ST,25,2.4,TRUCK,MI,60,9999,US,LocationGroup,US,CityState
"DRY_TRUCK_GUIDANCE|#|CATOOSA, OK|#|KS N|#|2024 Q2|#|DISTANCE|#|USD|#|ST|#|MI|#|60-9999",DRY_TRUCK_GUIDANCE,2,2024-10-02,2024-10-28,2024-10-28 08:59:10,2024-04-01,2024-06-30,DRY,False,"CATOOSA, OK",True,KS N,DISTANCE,2.42,USD,ST,25,2.42,TRUCK,MI,60,9999,US,LocationGroup,US,CityState
"DRY_TRUCK_GUIDANCE|#|ENID, OK|#|KS N|#|2024 Q2|#|DISTANCE|#|USD|#|ST|#|MI|#|60-9999",DRY_TRUCK_GUIDANCE,2,2024-10-02,2024-10-28,2024-10-28 08:59:10,2024-04-01,2024-06-30,DRY,False,"ENID, OK",True,KS N,DISTANCE,2.42,USD,ST,25,2.42,TRUCK,MI,60,9999,US,LocationGroup,US,CityState
"DRY_TRUCK_GUIDANCE|#|CATOOSA, OK|#|NE SE|#|2024 Q2|#|DISTANCE|#|USD|#|ST|#|MI|#|60-9999",DRY_TRUCK_GUIDANCE,3,2024-10-28,,2024-10-28 08:59:09,2024-04-01,2024-06-30,DRY,False,"CATOOSA, OK",True,NE SE,DISTANCE,2.44,USD,ST,25,2.44,TRUCK,MI,60,9999,US,LocationGroup,US,CityState
"DRY_TRUCK_GUIDANCE|#|ENID, OK|#|NE SE|#|2024 Q2|#|DISTANCE|#|USD|#|ST|#|MI|#|60-9999",DRY_TRUCK_GUIDANCE,3,2024-10-28,,2024-10-28 08:59:09,2024-04-01,2024-06-30,DRY,False,"ENID, OK",True,NE SE,DISTANCE,2.44,USD,ST,25,2.44,TRUCK,MI,60,9999,US,LocationGroup,US,CityState
"DRY_TRUCK_GUIDANCE|#|CATOOSA, OK|#|NE SE|#|2024 Q2|#|DISTANCE|#|USD|#|ST|#|MI|#|60-9999",DRY_TRUCK_GUIDANCE,2,2024-10-02,2024-10-28,2024-10-28 08:59:10,2024-04-01,2024-06-30,DRY,False,"CATOOSA, OK",True,NE SE,DISTANCE,2.46,USD,ST,25,2.46,TRUCK,MI,60,9999,US,LocationGroup,US,CityState
"DRY_TRUCK_GUIDANCE|#|ENID, OK|#|NE SE|#|2024 Q2|#|DISTANCE|#|USD|#|ST|#|MI|#|60-9999",DRY_TRUCK_GUIDANCE,2,2024-10-02,2024-10-28,2024-10-28 08:59:10,2024-04-01,2024-06-30,DRY,False,"ENID, OK",True,NE SE,DISTANCE,2.46,USD,ST,25,2.46,TRUCK,MI,60,9999,US,LocationGroup,US,CityState
"DRY_TRUCK_GUIDANCE|#|CATOOSA, OK|#|NE C|#|2024 Q2|#|DISTANCE|#|USD|#|ST|#|MI|#|60-9999",DRY_TRUCK_GUIDANCE,3,2024-10-28,,2024-10-28 08:59:09,2024-04-01,2024-06-30,DRY,False,"CATOOSA, OK",True,NE C,DISTANCE,2.52,USD,ST,25,2.52,TRUCK,MI,60,9999,US,LocationGroup,US,CityState
"DRY_TRUCK_GUIDANCE|#|ENID, OK|#|NE C|#|2024 Q2|#|DISTANCE|#|USD|#|ST|#|MI|#|60-9999",DRY_TRUCK_GUIDANCE,3,2024-10-28,,2024-10-28 08:59:09,2024-04-01,2024-06-30,DRY,False,"ENID, OK",True,NE C,DISTANCE,2.52,USD,ST,25,2.52,TRUCK,MI,60,9999,US,LocationGroup,US,CityState
