address,country,latitude,longitude,locationName,locationOwner,locationOwnerId,inboundMode,outboundMode,servicingCarriers,splc,zipCode,cityState
1221 N PECAN ST,US,31.901469,-97.092162,BLUE SKY-ABBOTT,BLUE SKY DEFNA,,TRUCK,TRUCK,,,76621,"ABBOTT, TX"
2638 W 1700 S,US,42.9537,-112.8417,J R-ABERDEEN,J R SIMPLOT COMPANY,0017000000yIW31,RAIL,RAIL,UP,835299000,83210,"ABERDEEN, ID"
105 392ND AVE S,US,45.463026,-98.381585,AGTEGRA COOPERATIVE-ABERDEEN,AGTEGRA COOPERATIVE,0017000000yIUql,RAIL|TRUCK,RAIL|TRUCK,BNSF,522165000,57401,"ABERDEEN, SD"
4750 E,US,45.4706,-98.4984,PRO AG-ABERDEEN,PRO AG SUPPLY INC,0017000000yIUs6,TRUCK,TRUCK,"","",57401,"ABERDEEN, SD"
100 MAIN ST,US,33.831934,-101.839355,HELENA AGRIENTERPRISES-ABERNATHY,HELENA AGRIENTERPRISES LLC,0017000000yIUxo,RAIL|TRUCK,RAIL|TRUCK,BNSF,674787000,79311,"ABERNATHY, TX"
,US,41.3335,-96.9504,MO VALLEY-ABIE,MO VALLEY AGRI SERVICE OF ATCHISON COUNTY INC,0017000000yIUuX,TRUCK,TRUCK,"","",68001,"ABIE, NE"
513 W 1ST ST,US,38.9150011,-97.2209333,"MACROSOURCE LLC ABILENE, KS",MACROSOURCE LLC,0014u00001zo2Xu,RAIL|TRUCK,RAIL|TRUCK,UP,585540000,67410,"ABILENE, KS"
800 N WASHINGTON ST,US,38.922787,-97.23362,VAN DIEST-ABILENE,VAN DIEST SUPPLY COMPANY,0017000000yIUos,TRUCK,TRUCK,,,67410,"ABILENE, KS"
303 S 14TH ST,US,32.430895,-99.727519,ABILENE AG-ABILENE,ABILENE AG SERVICE AND SUPPLY INC,0017000000yW3Wp,RAIL|TRUCK,RAIL|TRUCK,SSC|UP,678810000,79602,"ABILENE, TX"
E IDAHO RR TRACK 108721 STATION 81,US,42.6679642,-113.5969537,HELENA AGRIENTERPRISES-ACEQUIA,HELENA AGRIENTERPRISES LLC,0017000000yIUxo,RAIL,RAIL,EIRR|UP,837281000,83350,"ACEQUIA, ID"
33181 159TH ST,US,42.4718,-93.0422,INNOVATIVE AG-ACKLEY IA,INNOVATIVE AG SERVICES CO,0017000000yIUxI,TRUCK,TRUCK,"","",50601,"ACKLEY, IA"
27354 STATE HWY 57,US,42.5542,-93.0518,AGVANTAGE FS-ACKLEY,AGVANTAGE FS INC,0010g00001eOKQY,TRUCK,TRUCK,,,50601,"ACKLEY, IA"
302 N FRANKLIN ST,US,42.5593,-93.057,LANDUS COOPERATIVE-ACKLEY,LANDUS COOPERATIVE,0017000000yIUz4,TRUCK,TRUCK,"","",50601,"ACKLEY, IA"
1700 N BROADWAY AVE,US,34.77559,-96.67854,PONTOTOC COUNTY-ADA,PONTOTOC COUNTY EXT SVC,,TRUCK,TRUCK,,,74820,"ADA, OK"
100 E HILLCREST ST,US,41.496833,-94.636616,HELENA AGRIENTERPRISES-ADAIR IA,HELENA AGRIENTERPRISES LLC,0017000000yIUxo,TRUCK,TRUCK,"","",50002,"ADAIR, IA"
110 AUDUBON ST,US,41.500488,-94.638,LANDUS COOPERATIVE-ADAIR,LANDUS COOPERATIVE,0017000000yIUz4,RAIL|TRUCK,RAIL|TRUCK,IAIS,548334000,50002,"ADAIR, IA"
9960 E 2100TH ST,US,40.42412,-90.506851,HELENA AGRIENTERPRISES-ADAIR IL,HELENA AGRIENTERPRISES LLC,0017000000yIUxo,TRUCK,TRUCK,"","",61411,"ADAIR, IL"
13 SW COMMERCE ST,US,43.564846,-92.719174,NEXUS COOPERATIVE-ADAMS,NEXUS COOPERATIVE,0014u000026jAGp,TRUCK,TRUCK,"","",55909,"ADAMS, MN"
531 MAIN ST,US,40.4747,-96.5206,FRONTIER COOPERATIVE-ADAMS NE,FRONTIER COOPERATIVE COMPANY,0017000000yIUd1,RAIL|TRUCK,RAIL|TRUCK,BNSF,557414000,68301,"ADAMS, NE"
251 RAILRD ST,US,43.950949,-89.816589,ALLIED COOPERATIVE-ADAMS,ALLIED COOPERATIVE,0017000000yIV14,RAIL|TRUCK,RAIL|TRUCK,UP,333164000,53910,"ADAMS, WI"
