rateId,document,version,effectiveDate,expirationDate,lastUpdateDate,shippingStartDate,shippingEndDate,productGroup,originGroup,originId,destinationGroup,destinationId,rateFactorType,rate,currency,rateUom,loadQuantity,ratePerUom,mode,distanceUom,distanceLower,distanceUpper,originCountry,originLabel,destinationCountry,destinationLabel
NH3_GUIDANCE|#|IA|#|US|#|2024-03-31|#|UNIT|#|USD|#|ST|#|MI|#|80|#|90,NH3_GUIDANCE,1,2024-02-16,,2024-02-16 11:06:35,2024-01-01,2024-03-31,AMMONIA,TRUE,IA,FALSE,US,UNIT,22.92,USD,ST,20,22.92,TRUCK,MI,80,90,US,StateOrProvince,US,Country
NH3_GUIDANCE|#|OK|#|US|#|2024-03-31|#|UNIT|#|USD|#|ST|#|MI|#|560|#|570,NH3_GUIDANCE,1,2024-02-16,,2024-02-16 11:06:35,2024-01-01,2024-03-31,AMMONIA,TRUE,OK,FALSE,US,UNIT,133.53,USD,ST,20,133.53,TRUCK,MI,560,570,US,StateOrProvince,US,Country
NH3_GUIDANCE|#|MO|#|US|#|2024-03-31|#|UNIT|#|USD|#|ST|#|MI|#|850|#|860,NH3_GUIDANCE,1,2024-02-16,,2024-02-16 11:06:35,2024-01-01,2024-03-31,AMMONIA,TRUE,MO,FALSE,US,UNIT,201.67,USD,ST,20,201.67,TRUCK,MI,850,860,US,StateOrProvince,US,Country
NH3_GUIDANCE|#|MN|#|US|#|2024-03-31|#|UNIT|#|USD|#|ST|#|MI|#|730|#|740,NH3_GUIDANCE,1,2024-02-16,,2024-02-16 11:06:35,2024-01-01,2024-03-31,AMMONIA,TRUE,MN,FALSE,US,UNIT,176.11,USD,ST,20,176.11,TRUCK,MI,730,740,US,StateOrProvince,US,Country
NH3_GUIDANCE|#|KS|#|US|#|2024-03-31|#|UNIT|#|USD|#|ST|#|MI|#|670|#|680,NH3_GUIDANCE,1,2024-02-16,,2024-02-16 11:06:35,2024-01-01,2024-03-31,AMMONIA,TRUE,KS,FALSE,US,UNIT,159.62,USD,ST,20,159.62,TRUCK,MI,670,680,US,StateOrProvince,US,Country
LIQ_GUIDANCE|#|IL|#|US|#|2024-03-31|#|UNIT|#|USD|#|ST|#|MI|#|580|#|590,LIQ_GUIDANCE,1,2024-02-16,,2024-02-16 11:06:35,2024-01-01,2024-03-31,LIQUID,TRUE,IL,FALSE,US,UNIT,84.73,USD,ST,25,84.73,TRUCK,MI,580,590,US,StateOrProvince,US,Country
LIQ_GUIDANCE|#|IL|#|US|#|2024-03-31|#|UNIT|#|USD|#|ST|#|MI|#|440|#|450,LIQ_GUIDANCE,1,2024-02-16,,2024-02-16 11:06:35,2024-01-01,2024-03-31,LIQUID,TRUE,IL,FALSE,US,UNIT,64.41,USD,ST,25,64.41,TRUCK,MI,440,450,US,StateOrProvince,US,Country
LIQ_GUIDANCE|#|SD|#|US|#|2024-03-31|#|UNIT|#|USD|#|ST|#|MI|#|10|#|20,LIQ_GUIDANCE,1,2024-02-16,,2024-02-16 11:06:35,2024-01-01,2024-03-31,LIQUID,TRUE,SD,FALSE,US,UNIT,5.66,USD,ST,25,5.66,TRUCK,MI,10,20,US,StateOrProvince,US,Country
NH3_GUIDANCE|#|OK|#|US|#|2024-03-31|#|UNIT|#|USD|#|ST|#|MI|#|230|#|240,NH3_GUIDANCE,1,2024-02-16,,2024-02-16 11:06:35,2024-01-01,2024-03-31,AMMONIA,TRUE,OK,FALSE,US,UNIT,55.39,USD,ST,20,55.39,TRUCK,MI,230,240,US,StateOrProvince,US,Country
NH3_GUIDANCE|#|IA|#|US|#|2024-03-31|#|UNIT|#|USD|#|ST|#|MI|#|110|#|120,NH3_GUIDANCE,1,2024-02-16,,2024-02-16 11:06:35,2024-01-01,2024-03-31,AMMONIA,TRUE,IA,FALSE,US,UNIT,28.81,USD,ST,20,28.81,TRUCK,MI,110,120,US,StateOrProvince,US,Country
