locationName,occupantPartyName,occupantType,statesTheyCompeteIn,occupantPartyId
21ST CENTURY-CUMBERLAND,21ST CENTURY COOP CUMBERLAND IA,Customer,"",0017000000yW3lB
21ST CENTURY-FONTANELLE,21ST CENTURY COOP CUMBERLAND IA,Customer,"",0017000000yW3lB
21ST CENTURY-GREENFIELD,21ST CENTURY COOP CUMBERLAND IA,Customer,"",0017000000yW3lB
21ST CENTURY-MASSENA,21ST CENTURY COOP CUMBERLAND IA,Customer,"",0017000000yW3lB
3RD PARTY - STACYVILLE,KOCH FERTILIZER LLC,Koch,IA|MN|NE|MO|SD|WA|IL|ID|WI|SK|MI|IN|OR|MB|TX|LA|MT|NY|KS|WY|ND|UT|VA|OH|MD|VT|PA,0017000000yIUvv
A E-VAN BUREN,MUSKET CORPORATION,Customer,,0017000001GQTUq
ABILENE AG-ABILENE,ABILENE AG SERVICE AND SUPPLY INC,Customer,,0017000000yW3Wp
ABSOLUTE ENERGY-SAINT ANSGAR,WILBURELLIS COMPANY,Customer,,0017000000yIUoL
ACME SUPPLY-MARSHALL,FALCON FERTILIZER INC,Customer,,0017000000yIUzN
ADAMS WAREHOUSING-SIDNEY,WINFIELD SOLUTIONS LLC,Customer,,0017000000yIUl7
ADELL COOP-ADELL,ADELL COOP UNION,Customer,"",001700000130v7N
ADM CAMANCHE,ADM FERTILIZER DIVISION OF ARCHER DANIELS MIDLAND,Competitor,IA|IL,0017000000yIUjP
ADM EVANSVILLE,ADM FERTILIZER DIVISION OF ARCHER DANIELS MIDLAND,Competitor,KY|IN|OH|IL,0017000000yIUjP
ADM FERTILIZER-MEXICO,ADM FERTILIZER DIVISION OF ARCHER DANIELS MIDLAND,Customer,,0017000000yIUjP
ADM FERTILIZER-MORRIS,ADM FERTILIZER DIVISION OF ARCHER DANIELS MIDLAND,Customer,"",0017000000yIUjP
ADM FERTILIZER-NORTH PEKIN,ADM FERTILIZER DIVISION OF ARCHER DANIELS MIDLAND,Customer,"",0017000000yIUjP
ADM FERTILIZER-OTTAWA,ADM FERTILIZER DIVISION OF ARCHER DANIELS MIDLAND,Customer,"",0017000000yIUjP
ADM TOLEDO,ADM FERTILIZER DIVISION OF ARCHER DANIELS MIDLAND,Competitor,MI|IN|OH,0017000000yIUjP
ADROIT OVERSEAS-GREAT FALLS,GREYNS FERTILIZER SUPPLY INC,Customer,,0017000000yW3fr
AG AGRONOMY-EWING,AG AGRONOMY LLC,Customer,"",0010g00001eOKAe
AG AGRONOMY-OAKDALE,AG AGRONOMY LLC,Customer,"",0010g00001eOKAe
AG AIR-JOHNSTOWN,AG AIR INC DBA FRONTIER FERTILIZER CHEMICAL CO,Customer,,0017000000yIV3L
AG BEST-GASTON,AGBEST LLC,Customer,,0017000000yIW4u
AG COOP-BOONVILLE,AG COOP SERVICES INC,Customer,"",0017000000yIV3J
AG COOP-LA MONTE,AG COOP SERVICES INC,Customer,"",0017000000yIV3J
AG COOP-PRAIRIE HOME,AG COOP SERVICES INC,Customer,,0017000000yIV3J
AG COOP-SEDALIA,AG COOP SERVICES INC,Customer,"",0017000000yIV3J
AG ENTERPRISE-CHENEY,AG ENTERPRISE SUPPLY INC,Customer,,0017000001LPPUh
AG LINK-EDWALL,AG LINK INC,Customer,,0017000000yW3kk
AG PARTNERS-AXTELL,WINFIELD SOLUTIONS LLC,Customer,,0017000000yIUl7
AG PARTNERS-BAILEYVILLE,WINFIELD SOLUTIONS LLC,Customer,,0017000000yIUl7
AG PARTNERS-BELLE PLAINE,AG PARTNERS COOP,Customer,"",0017000000yIV3H
AG PARTNERS-BELVUE,WINFIELD SOLUTIONS LLC,Customer,,0017000000yIUl7
AG PARTNERS-CORNING,WINFIELD SOLUTIONS LLC,Customer,,0017000000yIUl7
AG PARTNERS-DENTON,WINFIELD SOLUTIONS LLC,Customer,,0017000000yIUl7
AG PARTNERS-ELGIN,AG PARTNERS COOP,Customer,,0017000000yIV3H
AG PARTNERS-FALLS CITY,WINFIELD SOLUTIONS LLC,Customer,,0017000000yIUl7
AG PARTNERS-GOODHUE,AG PARTNERS COOP,Customer,"",0017000000yIV3H
AG PARTNERS-HIAWATHA KS,WINFIELD SOLUTIONS LLC,Customer,,0017000000yIUl7
AG PARTNERS-HUMBOLDT NE,AG PARTNERS COOPERATIVE INC,Customer,"",0017000000yIV3V
AG PARTNERS-HUMBOLDT NE,WINFIELD SOLUTIONS LLC,Customer,,0017000000yIUl7
