originLocation,destinationLocation,equipmentType,productType
"ALBANY, NY","JOLLIETTE, QC",SINGLE,UREA
"ALBANY, NY","KIDDERS, ME",SINGLE,UREA
"ATLANTA, GA","CULPEPER, VA",SINGLE,DAP
"ATLANTA, GA","CULPEPER, VA",SINGLE,MAP
"BATON ROUGE, LA","GEISMAR, LA",SINGLE,METHANOL
"BATON ROUGE, LA","GRANDE PRAIRIE, AB",SINGLE,METHANOL
"BATON ROUGE, LA","INTERNATIONAL FALLS, MN",SINGLE,METHANOL
"BATON ROUGE, LA","KAMLOOPS, BC",SINGLE,METHANOL
"BATON ROUGE, LA","LEMONT, IL",SINGLE,METHANOL
"BATON ROUGE, LA","LEVIS, QC",SINGLE,METHANOL
"BATON ROUGE, LA","LONGUEUIL, QC",SINGLE,METHANOL
"BATON ROUGE, LA","NORTH CHICAGO, IL",SINGLE,METHANOL
"BATON ROUGE, LA","ST HYACINTHE, QC",SINGLE,METHANOL
"BATON ROUGE, LA","TAYLORSVILLE, MS",SINGLE,METHANOL
"BATON ROUGE, LA","THOROLD, ON",SINGLE,METHANOL
"BATON ROUGE, LA","TORONTO CARGOFLO, ON",SINGLE,METHANOL
"BATON ROUGE, LA","VAL D'OR, QC",SINGLE,METHANOL
"BATON ROUGE, LA","WINNIPEG, MB",SINGLE,METHANOL
"BEAUMONT, TX","CELINA, TX",SINGLE,AMMONIA
"BEAUMONT, TX","CLINE, UT",SINGLE,AMMONIA
"BEAUMONT, TX","DODGE CITY, KS",SINGLE,AMMONIA
"BEAUMONT, TX","DON, ID",SINGLE,AMMONIA
"BEAUMONT, TX","EAGLE PASS, TX",SINGLE,AMMONIA
"BEAUMONT, TX","EL PASO, TX",SINGLE,AMMONIA
"BEAUMONT, TX","HEIDENHEIMER, TX",SINGLE,AMMONIA
"BEAUMONT, TX","JACKSON, MS",SINGLE,AMMONIA
"BEAUMONT, TX","KANSAS CITY, MO",SINGLE,AMMONIA
"BEAUMONT, TX","LAREDO, TX",SINGLE,AMMONIA
"BEAUMONT, TX","MERIDIAN, MS",SINGLE,AMMONIA
"BEAUMONT, TX","MINIDOKA, ID",SINGLE,AMMONIA
"BEAUMONT, TX","MURDOCK, MN",SINGLE,AMMONIA
"BEAUMONT, TX","NEW ORLEANS, LA",SINGLE,AMMONIA
"BEAUMONT, TX","NORTH SEADRIFT, TX",SINGLE,AMMONIA
"BEAUMONT, TX","PONCA CITY, OK",SINGLE,AMMONIA
"BEAUMONT, TX","PORT NECHES, TX",SINGLE,AMMONIA
"BEAUMONT, TX","RICHVALE, CA",SINGLE,AMMONIA
"BEAUMONT, TX","RIVERSIDE, CA",SINGLE,AMMONIA
"BEAUMONT, TX","SALT LAKE CITY, UT",SINGLE,AMMONIA
"BEAUMONT, TX","STERRETT (WAXAHACHIE), TX",SINGLE,AMMONIA
"BEAUMONT, TX","TAFT, LA",SINGLE,AMMONIA
"BEAUMONT, TX","YOUENS, TX",SINGLE,AMMONIA
"BERRY, AZ","KINGMAN, AZ",SINGLE,DEF
"BIG SPRING, TX","BIG SPRING, TX",SINGLE,DEF
"BIG SPRING, TX","BIG SPRING, TX",SINGLE,METHANOL
"BIRMINGHAM, AL","BELLEGRADE-CHOSEN, FL",SINGLE,DEF
"BIRMINGHAM, AL","CALERA, AL",SINGLE,DEF
"BIRMINGHAM, AL","GRIFFIN, FL",SINGLE,DEF
"BIRMINGHAM, AL","JACKSONVILLE, FL",SINGLE,DEF
"BIRMINGHAM, AL","MIAMI PLANTATION, FL",SINGLE,DEF
"BIRMINGHAM, AL","NEW ALBANY, MS",SINGLE,METHANOL
"BIRMINGHAM, AL","YALE, TN",SINGLE,METHANOL
"BRANDON, IA","MONTICELLO, IN",SINGLE,ATS
"BRANDON, IA","MONTICELLO, IN",SINGLE,UAN
"BRANDON, MB","ABERDEEN, ID",SINGLE,UAN
"BRANDON, MB","ACKERVILLE, WI",SINGLE,10-34-0
"BRANDON, MB","ACKERVILLE, WI",SINGLE,ATS
