locationName,occupantPartyName,logisticsProductGroupName,qty,qtyUnit,occupantPartyId
21ST CENTURY-CUMBERLAND,21ST CENTURY COOP CUMBERLAND IA,AMMONIA,0,ST,0017000000yW3lB
21ST CENTURY-CUMBERLAND,21ST CENTURY COOP CUMBERLAND IA,DRY,750,ST,0017000000yW3lB
21ST CENTURY-CUMBERLAND,21ST CENTURY COOP CUMBERLAND IA,MAP,0,ST,0017000000yW3lB
21ST CENTURY-FONTANELLE,21ST CENTURY COOP CUMBERLAND IA,AMMONIA,0,ST,0017000000yW3lB
21ST CENTURY-FONTANELLE,21ST CENTURY COOP CUMBERLAND IA,DRY,250,ST,0017000000yW3lB
21ST CENTURY-GREENFIELD,21ST CENTURY COOP CUMBERLAND IA,AMMONIA,0,ST,0017000000yW3lB
21ST CENTURY-GREENFIELD,21ST CENTURY COOP CUMBERLAND IA,DRY,500,ST,0017000000yW3lB
21ST CENTURY-GREENFIELD,21ST CENTURY COOP CUMBERLAND IA,MAP,0,ST,0017000000yW3lB
21ST CENTURY-MASSENA,21ST CENTURY COOP CUMBERLAND IA,DRY,120,ST,0017000000yW3lB
21ST CENTURY-MASSENA,21ST CENTURY COOP CUMBERLAND IA,UAN,0,ST,0017000000yW3lB
3RD PARTY - STACYVILLE,KOCH FERTILIZER LLC,ATS,0,ST,0017000000yIUvv
3RD PARTY - STACYVILLE,KOCH FERTILIZER LLC,UAN,0,ST,0017000000yIUvv
"A ANASTASIO NEW HAVEN, CT",A ANASTASIO SONS TRUCKING CO INC,UREA,0,ST,
A E-VAN BUREN,MUSKET CORPORATION,DEF,0,ST,0017000001GQTUq
ABILENE AG-ABILENE,ABILENE AG SERVICE AND SUPPLY INC,AMMONIA,0,ST,0017000000yW3Wp
ABILENE AG-ABILENE,ABILENE AG SERVICE AND SUPPLY INC,UREA,0,ST,0017000000yW3Wp
ABSOLUTE ENERGY-SAINT ANSGAR,WILBURELLIS COMPANY,AMMONIA,0,ST,0017000000yIUoL
"ACCRON LP BRYAN, TX",ACCRON LP,DAP,0,ST,0014u00001zo2Ti
"ACCRON LP BRYAN, TX",ACCRON LP,MAP,0,ST,0014u00001zo2Ti
"ACCRON LP BRYAN, TX",ACCRON LP,UREA,0,ST,0014u00001zo2Ti
ACKERVILLE WI- RR STATION,"",10-34-0,0,ST,""
ACKERVILLE WI- RR STATION,"",ATS,0,ST,""
ACKERVILLE WI- RR STATION,"",UAN,0,ST,""
ACME SUPPLY-MARSHALL,FALCON FERTILIZER INC,AMMONIA,0,ST,0017000000yIUzN
"ADAMS WAREHOUSING SIDNEY, NE",ADAMS WAREHOUSING LLC,UAN,0,ST,
"ADAMS WAREHOUSING SIDNEY, NE",ADAMS WAREHOUSING LLC,UREA,0,ST,
ADAMS WAREHOUSING-SIDNEY,WINFIELD SOLUTIONS LLC,UAN,0,ST,0017000000yIUl7
ADAMS WAREHOUSING-SIDNEY,WINFIELD SOLUTIONS LLC,UREA,0,ST,0017000000yIUl7
