originZipCode,originCountry,destinationZipCode,destinationCountry,distanceUom,distance
02284,US,35150,US,MI,1184
02284,US,43935,US,MI,626
02835,US,77471,US,MI,1832
06851,US,35150,US,MI,1017
06851,US,43935,US,MI,459
06880,US,52068,US,MI,1029
07032,US,43935,US,MI,404
07114,US,07114,US,MI,10
07601,US,85367,US,MI,2648
08060,US,85367,US,MI,2590
08854,US,15631,US,MI,313
08854,US,61025,US,MI,962
08854,US,63120,US,MI,947
08876,US,77471,US,MI,1623
11581,US,35150,US,MI,1000
15009,US,15009,US,MI,10
15009,US,43207,US,MI,201
15025,US,43935,US,MI,63
15205,US,35150,US,MI,753
15205,US,43935,US,MI,56
15251,US,43935,US,MI,61
15631,US,01038,US,MI,503
15631,US,05459,US,MI,664
15631,US,05491,US,MI,581
15631,US,05753,US,MI,573
15631,US,07074,US,MI,341
15631,US,08098,US,MI,268
15631,US,12106,US,MI,448
15631,US,12401,US,MI,408
15631,US,12865,US,MI,510
15631,US,13071,US,MI,331
15631,US,14411,US,MI,306
15631,US,14414,US,MI,309
15631,US,14452,US,MI,310
15631,US,14456,US,MI,332
15631,US,14463,US,MI,325
15631,US,14489,US,MI,360
15631,US,14505,US,MI,352
15631,US,14569,US,MI,289
15631,US,14826,US,MI,274
15631,US,15631,US,MI,10
15631,US,16142,US,MI,98
15631,US,16156,US,MI,95
15631,US,16686,US,MI,112
15631,US,16823,US,MI,145
15631,US,16877,US,MI,118
15631,US,17042,US,MI,197
15631,US,17361,US,MI,203
15631,US,17402,US,MI,189
15631,US,17404,US,MI,188
15631,US,17406,US,MI,193
15631,US,17532,US,MI,223
15631,US,17601,US,MI,202
15631,US,18631,US,MI,230
15631,US,19607,US,MI,222
15631,US,19973,US,MI,293
15631,US,21617,US,MI,256
15631,US,21701,US,MI,166
15631,US,21705,US,MI,167
15631,US,21829,US,MI,340
15631,US,22472,US,MI,314
15631,US,22601,US,MI,155
15631,US,22603,US,MI,145
15631,US,22728,US,MI,220
15631,US,23837,US,MI,377
15631,US,23866,US,MI,372
15631,US,25403,US,MI,155
15631,US,25438,US,MI,169
15631,US,27299,US,MI,400
15631,US,27405,US,MI,402
15631,US,27533-2064,US,MI,475
15631,US,27877,US,MI,395
15631,US,28625,US,MI,375
15631,US,29018,US,MI,572
15631,US,29556,US,MI,564
15631,US,29574,US,MI,538
15631,US,29591,US,MI,546
15631,US,29939,US,MI,612
15631,US,30461,US,MI,642
15631,US,31079,US,MI,735
15631,US,31533,US,MI,748
15631,US,31763,US,MI,800
15631,US,31790,US,MI,799
15631,US,31791,US,MI,813
15631,US,32798,US,MI,947
15631,US,33440,US,MI,1111
15631,US,33852,US,MI,1042
15631,US,35662,US,MI,720
15631,US,38012,US,MI,734
15631,US,38017,US,MI,784
15631,US,38040,US,MI,719
15631,US,38109,US,MI,798
15631,US,38261,US,MI,670
15631,US,38676,US,MI,830
15631,US,38703,US,MI,942
15631,US,38704,US,MI,941
15631,US,38732,US,MI,903
15631,US,38930,US,MI,917
15631,US,39885,US,MI,820
15631,US,40065,US,MI,414
15631,US,42053,US,MI,641
15631,US,42134,US,MI,544
15631,US,42240,US,MI,579
15631,US,42276,US,MI,555
15631,US,42301,US,MI,525
15631,US,43143,US,MI,234
15631,US,43402,US,MI,271
15631,US,43450,US,MI,260
15631,US,43537,US,MI,270
15631,US,43612,US,MI,274
15631,US,44431,US,MI,106
15631,US,44647,US,MI,147
15631,US,44807,US,MI,223
15631,US,44811,US,MI,226
15631,US,44830,US,MI,253
15631,US,45314,US,MI,265
15631,US,45327,US,MI,297
15631,US,45505,US,MI,259
15631,US,46072,US,MI,399
15631,US,46168,US,MI,409
15631,US,46539,US,MI,415
15631,US,46766,US,MI,363
15631,US,46794,US,MI,377
15631,US,46947,US,MI,433
15631,US,47240,US,MI,367
15631,US,47591,US,MI,518
15631,US,47666,US,MI,533
15631,US,47922,US,MI,494
15631,US,47933,US,MI,436
15631,US,48131,US,MI,299
15631,US,48453,US,MI,399
15631,US,48609,US,MI,418
15631,US,48615,US,MI,442
15631,US,48649,US,MI,402
15631,US,48720,US,MI,462
15631,US,48829,US,MI,456
15631,US,48890,US,MI,413
15631,US,49036,US,MI,358
15631,US,49098,US,MI,449
15631,US,49327,US,MI,483
15631,US,49345,US,MI,469
15631,US,49738,US,MI,512
15631,US,50248,US,MI,849
15631,US,50313,US,MI,814
15631,US,50465,US,MI,945
15631,US,50510,US,MI,940
15631,US,50595,US,MI,861
15631,US,50627,US,MI,832
15631,US,50682,US,MI,743
15631,US,51301,US,MI,976
15631,US,51346,US,MI,995
15631,US,52650,US,MI,708
15631,US,53014,US,MI,675
15631,US,53532,US,MI,660
15631,US,53534,US,MI,626
15631,US,53572,US,MI,671
15631,US,53716,US,MI,648
15631,US,54303,US,MI,718
15631,US,54615,US,MI,773
15631,US,54703,US,MI,817
15631,US,55396,US,MI,982
15631,US,55952,US,MI,823
15631,US,56016,US,MI,908
15631,US,56050,US,MI,941
15631,US,56378,US,MI,1018
15631,US,57006,US,MI,1127
15631,US,58102,US,MI,1149
15631,US,58108,US,MI,1142
15631,US,58201,US,MI,1225
15631,US,58445,US,MI,1288
15631,US,58701,US,MI,1411
15631,US,58801,US,MI,1564
15631,US,59102,US,MI,1756
15631,US,59725,US,MI,2006
15631,US,61025,US,MI,682
15631,US,61201,US,MI,648
15631,US,61254,US,MI,625
15631,US,61342,US,MI,580
15631,US,61350,US,MI,554
15631,US,61356,US,MI,589
15631,US,61413,US,MI,664
15631,US,61542,US,MI,635
15631,US,61723,US,MI,567
15631,US,61801,US,MI,508
15631,US,61842,US,MI,533
15631,US,61880,US,MI,521
15631,US,61929,US,MI,555
15631,US,62263,US,MI,617
15631,US,62428,US,MI,510
15631,US,62445,US,MI,523
15631,US,62526,US,MI,556
15631,US,62839,US,MI,566
15631,US,62864,US,MI,593
15631,US,63147,US,MI,634
15631,US,63461,US,MI,709
15631,US,63801,US,MI,710
15631,US,63834,US,MI,694
15631,US,63862,US,MI,731
15631,US,64503,US,MI,886
15631,US,64601,US,MI,819
15631,US,64701,US,MI,882
15631,US,65301,US,MI,815
15631,US,67002,US,MI,1055
15631,US,67059,US,MI,1165
15631,US,67530,US,MI,1123
15631,US,67546,US,MI,1075
15631,US,67579,US,MI,1101
15631,US,67735,US,MI,1278
15631,US,67846,US,MI,1259
15631,US,68025,US,MI,976
15631,US,68430,US,MI,1020
15631,US,68524,US,MI,1007
15631,US,69153,US,MI,1277
15631,US,71112,US,MI,1148
15631,US,71322,US,MI,1193
15631,US,72004,US,MI,930
15631,US,72390,US,MI,863
15631,US,72442,US,MI,771
15631,US,72447,US,MI,779
15631,US,72472,US,MI,822
15631,US,73766,US,MI,1149
15631,US,74873,US,MI,1134
15631,US,75119,US,MI,1274
15631,US,75165,US,MI,1273
15631,US,75167,US,MI,1273
15631,US,76570,US,MI,1373
15631,US,76651,US,MI,1289
15631,US,77471,US,MI,1415
15631,US,78041,US,MI,1677
15631,US,79043,US,MI,1473
15631,US,79907,US,MI,1812
15631,US,82501,US,MI,1712
15631,US,93725,US,MI,2578
15631,US,95616,US,MI,2538
15631,US,99031,US,MI,2307
15631,US,99161,US,MI,2332
15631,US,99301,US,MI,2422
15631,US,99403,US,MI,2311
16686,US,15631,US,MI,111
16686,US,22472,US,MI,294
16686,US,23148,US,MI,294
16686,US,38704,US,MI,1028
16686,US,63120,US,MI,731
16686,US,67801,US,MI,1294
16686,US,72315,US,MI,841
16686,US,72390,US,MI,950
16686,US,75165,US,MI,1360
16686,US,77471,US,MI,1511
17042,US,01038,US,MI,313
17042,US,06492,US,MI,239
17042,US,07763,US,MI,134
17042,US,12130,US,MI,272
17042,US,12154,US,MI,292
17042,US,17042,US,MI,10
17042,US,17316,US,MI,60
17042,US,17316,US,MI,60
17042,US,17607,US,MI,30
17042,US,18801,US,MI,140
17042,US,23410,US,MI,254
17042,US,27573,US,MI,390
17042,US,28383,US,MI,506
17042,US,28625,US,MI,470
17042,US,28677,US,MI,470
17042,US,29018,US,MI,627
17042,US,32773,US,MI,972
17042,US,33802,US,MI,1045
17042,US,33850,US,MI,1031
17042,US,34736,US,MI,1019
17042,US,34981,US,MI,1074
17042,US,35151,US,MI,834
17042,US,39828,US,MI,948
17042,US,43537,US,MI,457
17042,US,43935,US,MI,275
17042,US,44830,US,MI,452
17042,US,49448,US,MI,668
17042,US,53037,US,MI,807
17042,US,54702,US,MI,1004
17042,US,54703,US,MI,1004
17042,US,55009,US,MI,1079
17042,US,56085,US,MI,1169
17042,US,62677,US,MI,796
17042,US,75402,US,MI,1364
17042,US,76821,US,MI,1633
17042,US,77803,US,MI,1503
17042,US,80534,US,MI,1662
17042,US,80640,US,MI,1658
17042,US,84522,US,MI,2066
17042,US,91710,US,MI,2611
17042,US,95330,US,MI,2774
17042,US,97071,US,MI,2823
17042,US,97137,US,MI,1088
17042,US,97348,US,MI,1172
17042,US,98233,US,MI,2810
17044,US,07763,US,MI,210
17044,US,17316,US,MI,87
17044,US,17607,US,MI,102
17044,US,19607,US,MI,115
17044,US,19612,US,MI,121
17601,US,01038,US,MI,320
17601,US,01590,US,MI,336
17601,US,05491,US,MI,400
17601,US,05733,US,MI,385
17601,US,05753,US,MI,392
17601,US,08098,US,MI,67
17601,US,12547,US,MI,206
17601,US,12865,US,MI,329
17601,US,14411,US,MI,302
17601,US,14414,US,MI,276
17601,US,14437,US,MI,243
17601,US,14452,US,MI,321
17601,US,14456,US,MI,260
17601,US,14463,US,MI,253
17601,US,14489,US,MI,275
17601,US,14551,US,MI,289
17601,US,14826,US,MI,230
17601,US,15631,US,MI,202
17601,US,16686,US,MI,150
17601,US,16877,US,MI,149
17601,US,17042,US,MI,19
17601,US,17361,US,MI,40
17601,US,17402,US,MI,24
17601,US,17404,US,MI,28
17601,US,17406,US,MI,20
17601,US,17532,US,MI,22
17601,US,17566,US,MI,15
17601,US,17601,US,MI,10
17601,US,17603,US,MI,10
17601,US,17607,US,MI,10
17601,US,18631,US,MI,103
17601,US,19507,US,MI,31
17601,US,19709,US,MI,67
17601,US,19973,US,MI,126
17601,US,21705,US,MI,114
17601,US,21829,US,MI,175
17601,US,22547,US,MI,180
17601,US,22603,US,MI,157
17601,US,24486,US,MI,231
17601,US,24529,US,MI,338
17601,US,25403,US,MI,129
17601,US,31763,US,MI,903
17601,US,34736,US,MI,977
17601,US,35601,US,MI,809
17601,US,38305,US,MI,879
17601,US,42240,US,MI,780
17601,US,42301,US,MI,716
17601,US,43050,US,MI,388
17601,US,43143,US,MI,424
17601,US,43320,US,MI,426
17601,US,43537,US,MI,459
17601,US,44807,US,MI,414
17601,US,44811,US,MI,415
17601,US,45314,US,MI,456
17601,US,46072,US,MI,590
17601,US,46168,US,MI,600
17601,US,47933,US,MI,627
17601,US,48609,US,MI,607
17601,US,48649,US,MI,591
17601,US,48890,US,MI,603
17601,US,49098,US,MI,639
17601,US,50021,US,MI,1006
17601,US,50313,US,MI,1003
17601,US,51301,US,MI,1165
17601,US,52216,US,MI,885
17601,US,53532,US,MI,849
17601,US,53534,US,MI,817
17601,US,53572,US,MI,860
17601,US,61254,US,MI,814
17601,US,61356,US,MI,778
17601,US,61723,US,MI,758
17601,US,61842,US,MI,724
17601,US,62526,US,MI,746
17601,US,62839,US,MI,757
17601,US,62864,US,MI,784
17601,US,67147,US,MI,1263
17601,US,68901,US,MI,1297
17601,US,72472,US,MI,1015
17601,US,75165,US,MI,1443
17601,US,76570,US,MI,1544
17601,US,77471,US,MI,1526
17601,US,77547,US,MI,1488
19030,US,35150,US,MI,912
19422,US,35150,US,MI,894
19805,US,35150,US,MI,856
21221,US,01038,US,MI,349
21221,US,01337,US,MI,371
21221,US,06413,US,MI,284
21221,US,06492,US,MI,275
21221,US,06804,US,MI,255
21221,US,07763,US,MI,147
21221,US,08833,US,MI,160
21221,US,12130,US,MI,317
21221,US,17316,US,MI,69
21221,US,17316,US,MI,69
21221,US,17601,US,MI,80
21221,US,17607,US,MI,84
21221,US,18106,US,MI,140
21221,US,18801,US,MI,250
21221,US,19607,US,MI,107
21221,US,20774,US,MI,48
21221,US,21219,US,MI,11
21221,US,23306,US,MI,193
21221,US,23410,US,MI,184
21221,US,27573,US,MI,295
21221,US,27823,US,MI,266
21221,US,28383,US,MI,418
21221,US,28625,US,MI,428
21221,US,28677,US,MI,433
21221,US,29483,US,MI,565
21221,US,29556,US,MI,496
21221,US,29568,US,MI,461
21221,US,29581,US,MI,443
21221,US,29669,US,MI,567
21221,US,30004,US,MI,686
21221,US,30024,US,MI,668
21221,US,30458,US,MI,641
21221,US,30520,US,MI,611
21221,US,31015,US,MI,795
21221,US,32226,US,MI,756
21221,US,32750,US,MI,891
21221,US,32773,US,MI,885
21221,US,33802,US,MI,948
21221,US,33850,US,MI,942
21221,US,33852,US,MI,999
21221,US,33870,US,MI,986
21221,US,34736,US,MI,914
21221,US,34945,US,MI,988
21221,US,34981,US,MI,977
21221,US,35150,US,MI,796
21221,US,35151,US,MI,807
21221,US,37323,US,MI,620
21221,US,37745,US,MI,472
21221,US,39652,US,MI,1107
21221,US,39828,US,MI,849
21221,US,40361,US,MI,542
21221,US,43040,US,MI,442
21221,US,43110,US,MI,407
21221,US,43130,US,MI,393
21221,US,43537,US,MI,481
21221,US,43612,US,MI,485
21221,US,43935,US,MI,287
21221,US,44003,US,MI,355
21221,US,44081,US,MI,394
21221,US,44830,US,MI,464
21221,US,45036,US,MI,486
21221,US,45246,US,MI,506
21221,US,46701,US,MI,589
21221,US,47274,US,MI,598
21221,US,48094,US,MI,566
21221,US,48880,US,MI,646
21221,US,49448,US,MI,690
21221,US,49740,US,MI,795
21221,US,53037,US,MI,839
21221,US,54702,US,MI,1017
21221,US,54703,US,MI,1017
21221,US,55009,US,MI,1107
21221,US,55068,US,MI,1128
21221,US,55119,US,MI,1110
21221,US,56085,US,MI,1187
21221,US,57078,US,MI,1288
21221,US,60152,US,MI,777
21221,US,60450,US,MI,744
21221,US,62677,US,MI,812
21221,US,63141,US,MI,851
21221,US,63147,US,MI,835
21221,US,68336,US,MI,1215
21221,US,70301,US,MI,1185
21221,US,73036,US,MI,1361
21221,US,74015,US,MI,1218
21221,US,75006,US,MI,1385
21221,US,75165,US,MI,1402
21221,US,75401,US,MI,1327
21221,US,75402,US,MI,1331
21221,US,76531,US,MI,1500
21221,US,77613,US,MI,1383
21221,US,77803,US,MI,1456
21221,US,79407,US,MI,1720
21221,US,79705,US,MI,1714
21221,US,80534,US,MI,1684
21221,US,80640,US,MI,1677
21221,US,80651,US,MI,1698
21221,US,83854,US,MI,2477
21221,US,84041,US,MI,2083
21221,US,84522,US,MI,2100
21221,US,85034,US,MI,2343
21221,US,85193,US,MI,2404
21221,US,85222,US,MI,2311
21221,US,85621,US,MI,2389
21221,US,90221,US,MI,2666
21221,US,91710,US,MI,2630
21221,US,93201,US,MI,2738
21221,US,93673,US,MI,2759
21221,US,93926,US,MI,2864
21221,US,95330,US,MI,2791
21221,US,97002,US,MI,2832
21221,US,97071,US,MI,2844
21221,US,97113,US,MI,2835
21221,US,97137,US,MI,2843
21221,US,97305,US,MI,2851
21221,US,97348,US,MI,2900
21221,US,98233,US,MI,2837
23223,US,19342,US,MI,245
23223,US,23228,US,MI,10
23223,US,28501,US,MI,195
23320,US,95691,US,MI,2886
23324,US,15754,US,MI,412
23324,US,17011,US,MI,305
23324,US,20030,US,MI,206
23324,US,20132,US,MI,226
23324,US,20147,US,MI,208
23324,US,20176,US,MI,222
23324,US,20186,US,MI,183
23324,US,20607,US,MI,174
23324,US,20708,US,MI,224
23324,US,20772,US,MI,184
23324,US,20874,US,MI,219
23324,US,21220,US,MI,255
23324,US,21224,US,MI,247
23324,US,21226,US,MI,218
23324,US,21403,US,MI,233
23324,US,21613,US,MI,173
23324,US,21740,US,MI,266
23324,US,22079,US,MI,180
23324,US,22191,US,MI,173
23324,US,22202,US,MI,195
23324,US,22313,US,MI,201
23324,US,22508,US,MI,169
23324,US,22572,US,MI,112
23324,US,22601,US,MI,233
23324,US,22630,US,MI,215
23324,US,22734,US,MI,177
23324,US,23061,US,MI,53
23324,US,23112,US,MI,118
23324,US,23140,US,MI,79
23324,US,23181,US,MI,71
23324,US,23234,US,MI,101
23324,US,23237,US,MI,101
23324,US,23315,US,MI,37
23324,US,23320,US,MI,10
23324,US,23324,US,MI,10
23324,US,23501,US,MI,10
23324,US,23505,US,MI,11
23324,US,23523,US,MI,10
23324,US,23696,US,MI,38
23324,US,23701,US,MI,12
23324,US,23704,US,MI,10
23324,US,23803,US,MI,79
23324,US,23836,US,MI,85
23324,US,23860,US,MI,81
23324,US,24002,US,MI,243
23324,US,24013,US,MI,241
23324,US,24426,US,MI,273
23324,US,24523,US,MI,213
23324,US,25276,US,MI,462
23324,US,27320,US,MI,217
23324,US,27379,US,MI,207
23324,US,27406,US,MI,238
23324,US,27820,US,MI,72
23324,US,28401,US,MI,244
23324,US,31402,US,MI,482
23324,US,31405,US,MI,484
23324,US,31415,US,MI,482
23324,US,39168,US,MI,940
23324,US,42402,US,MI,783
23324,US,44622,US,MI,525
23324,US,48422,US,MI,797
23324,US,49224,US,MI,769
23324,US,60462,US,MI,901
23324,US,77627,US,MI,1276
23523,US,19939,US,MI,152
23523,US,19950,US,MI,170
23523,US,19956,US,MI,153
23523,US,19973,US,MI,160
23523,US,20041,US,MI,203
23523,US,20138,US,MI,174
23523,US,21851,US,MI,109
23523,US,22432,US,MI,97
23523,US,22560,US,MI,97
23523,US,22572,US,MI,104
23523,US,22630,US,MI,215
23523,US,22701,US,MI,178
23523,US,22719,US,MI,192
23523,US,22728,US,MI,176
23523,US,22801,US,MI,223
23523,US,22901,US,MI,169
23523,US,22960,US,MI,171
23523,US,23061,US,MI,53
23523,US,23063,US,MI,132
23523,US,23086,US,MI,87
23523,US,23093,US,MI,143
23523,US,23148,US,MI,104
23523,US,23320,US,MI,10
23523,US,23324,US,MI,10
23523,US,23347,US,MI,51
23523,US,23441,US,MI,79
23523,US,23501,US,MI,10
23523,US,23523,US,MI,10
23523,US,23801,US,MI,80
23523,US,23837,US,MI,53
23523,US,23883,US,MI,46
23523,US,23901,US,MI,141
23523,US,23922,US,MI,127
23523,US,24065,US,MI,259
23523,US,24078,US,MI,226
23523,US,24112,US,MI,223
23523,US,24151,US,MI,249
23523,US,24162,US,MI,298
23523,US,24184,US,MI,255
23523,US,24343,US,MI,286
23523,US,24354,US,MI,376
23523,US,24382,US,MI,349
23523,US,24401,US,MI,203
23523,US,24486,US,MI,214
23523,US,24522,US,MI,169
23523,US,24523,US,MI,214
23523,US,24531,US,MI,209
23523,US,24541,US,MI,193
23523,US,24557,US,MI,219
23523,US,24970,US,MI,308
23523,US,26847,US,MI,284
23523,US,27302,US,MI,207
23523,US,27320,US,MI,218
23523,US,27522,US,MI,171
23523,US,27536,US,MI,147
23523,US,27549,US,MI,150
23523,US,27565,US,MI,158
23523,US,27573,US,MI,184
23523,US,27810,US,MI,128
23523,US,27818,US,MI,57
23523,US,27828,US,MI,135
23523,US,27860,US,MI,123
23523,US,27886,US,MI,116
23523,US,27892,US,MI,102
23523,US,27932,US,MI,76
23523,US,27944,US,MI,88
23523,US,27946,US,MI,57
23523,US,27962,US,MI,100
23806,US,23860,US,MI,11
23860,US,23860,US,MI,10
23860,US,44830,US,MI,572
23860,US,46750,US,MI,668
23860,US,53037,US,MI,952
23860,US,62521,US,MI,819
23860,US,68647,US,MI,128
24013,US,67801,US,MI,1277
24013,US,77471,US,MI,1212
24486,US,16131,US,MI,356
24486,US,20622,US,MI,150
24486,US,21550,US,MI,135
24486,US,21740,US,MI,125
24486,US,22664,US,MI,51
24486,US,22701,US,MI,71
24486,US,22801,US,MI,11
24486,US,22835,US,MI,45
24486,US,22842,US,MI,38
24486,US,23936,US,MI,87
24486,US,24134,US,MI,151
24486,US,24162,US,MI,113
24486,US,24266,US,MI,241
24486,US,24343,US,MI,175
24486,US,24382,US,MI,165
24486,US,24401,US,MI,17
24486,US,24450,US,MI,48
24486,US,24486,US,MI,10
24486,US,24523,US,MI,116
24486,US,24970,US,MI,123
24486,US,25438,US,MI,107
24486,US,26836,US,MI,84
24486,US,26847,US,MI,96
26508,US,76801,US,MI,1372
26508,US,77471,US,MI,1374
27409,US,62060,US,MI,742
27416,US,43935,US,MI,424
27513,US,43935,US,MI,489
27533-2064,US,14826,US,MI,580
27533-2064,US,15631,US,MI,474
27533-2064,US,17406,US,MI,365
27533-2064,US,19933,US,MI,364
27533-2064,US,21829,US,MI,290
27533-2064,US,22472,US,MI,221
27533-2064,US,22603,US,MI,300
27533-2064,US,23441,US,MI,254
27533-2064,US,23837,US,MI,129
27533-2064,US,23866,US,MI,146
27533-2064,US,23976,US,MI,131
27533-2064,US,24501,US,MI,207
27533-2064,US,27055,US,MI,184
27533-2064,US,27299,US,MI,171
27533-2064,US,27405,US,MI,132
27533-2064,US,27877,US,MI,110
27533-2064,US,27886,US,MI,55
27533-2064,US,27946,US,MI,132
27533-2064,US,27962,US,MI,101
27533-2064,US,27983,US,MI,94
27533-2064,US,28001,US,MI,163
27533-2064,US,28128,US,MI,142
27533-2064,US,28366,US,MI,25
27533-2064,US,28502,US,MI,27
27533-2064,US,28640,US,MI,244
27533-2064,US,28792,US,MI,326
27533-2064,US,29018,US,MI,228
27533-2064,US,29059,US,MI,223
27533-2064,US,29115,US,MI,233
27533-2064,US,29540,US,MI,148
27533-2064,US,29554,US,MI,176
27533-2064,US,29556,US,MI,198
27533-2064,US,29591,US,MI,166
27533-2064,US,31036,US,MI,423
27533-2064,US,31763,US,MI,515
27533-2064,US,31790,US,MI,497
27533-2064,US,33440,US,MI,759
27533-2064,US,34736,US,MI,620
27533-2064,US,35756,US,MI,636
27533-2064,US,38305,US,MI,722
27533-2064,US,42301,US,MI,688
27533-2064,US,43537,US,MI,671
27533-2064,US,44830,US,MI,630
27533-2064,US,46176,US,MI,654
27533-2064,US,47933,US,MI,732
27533-2064,US,62839,US,MI,803
27533-2064,US,70532,US,MI,1061
27533-2064,US,72472,US,MI,856
27533-2064,US,75165,US,MI,1233
27533-2064,US,77836,US,MI,1273
28117,US,93725,US,MI,2538
28201,US,28208,US,MI,10
28201,US,36260,US,MI,343
28208,US,36203,US,MI,328
28208,US,54758,US,MI,1062
28358,US,28358,US,MI,10
28401,US,23181,US,MI,286
28401,US,24323,US,MI,333
28401,US,24333,US,MI,307
28401,US,24382,US,MI,324
28401,US,24486,US,MI,381
28401,US,24541,US,MI,214
28401,US,27009,US,MI,232
28401,US,27020,US,MI,266
28401,US,27021,US,MI,249
28401,US,27030,US,MI,270
28401,US,27055,US,MI,260
28401,US,27203,US,MI,184
28401,US,27212,US,MI,207
28401,US,27214,US,MI,215
28401,US,27233,US,MI,192
28401,US,27249,US,MI,194
28401,US,27292,US,MI,209
28401,US,27302,US,MI,178
