Rate Definition ID,Rate Schedule,Provider Charge Type,Charge Unit,Start Date,End Date,Rate Category,Season,Rec Loc Type,Rec Loc ID,Del Loc Type,Del Loc ID,Rate Type,Rate Unit,Charge Indicator,Rate,Rate Override,Custody Contract,Shipper,Custody Deal,Buy/Sell Deal,Comments,Product Category,Products
177093,FT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,CARLTON,Location,BELLE RIVER,Fixed,,Delivery,1.71,,,,,,,All,None
177194,IT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,CARLTON,Location,BELLE RIVER,Fixed,,Delivery,1.71,,,,,,,All,None
177115,FT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,EMERSON,Location,BELLE RIVER,Fixed,,Delivery,2.10039,,,,,,,All,None
177216,IT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,EMERSON,Location,BELLE RIVER,Fixed,,Delivery,2.10039,,,,,,,All,None
177133,FT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,FARWELL,Location,BELLE RIVER,Fixed,,Delivery,0.77209,,,,,,,All,None
177234,IT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,FARWELL,Location,BELLE RIVER,Fixed,,Delivery,0.77209,,,,,,,All,None
177150,FT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,FORTUNE LAKE,Location,BELLE RIVER,Fixed,,Delivery,1.31,,,,,,,All,None
177251,IT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,FORTUNE LAKE,Location,BELLE RIVER,Fixed,,Delivery,1.31,,,,,,,All,None
177174,FT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,ST.CLAIR,Location,BELLE RIVER,Fixed,,Delivery,0,,,,,,,All,None
177275,IT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,ST.CLAIR,Location,BELLE RIVER,Fixed,,Delivery,0,,,,,,,All,None
177106,FT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,CLOW,Location,CARLTON,Fixed,,Delivery,0.91,,,,,,,All,None
177207,IT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,CLOW,Location,CARLTON,Fixed,,Delivery,0.91,,,,,,,All,None
177111,FT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,DEWARD,Location,CARLTON,Fixed,,Delivery,0,,,,,,,All,None
177212,IT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,DEWARD,Location,CARLTON,Fixed,,Delivery,0,,,,,,,All,None
177116,FT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,EMERSON,Location,CARLTON,Fixed,,Delivery,0.90654,,,,,,,All,None
177217,IT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,EMERSON,Location,CARLTON,Fixed,,Delivery,0.91,,,,,,,All,None
177134,FT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,FARWELL,Location,CARLTON,Fixed,,Delivery,0,,,,,,,All,None
177235,IT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,FARWELL,Location,CARLTON,Fixed,,Delivery,0,,,,,,,All,None
177151,FT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,FORTUNE LAKE,Location,CARLTON,Fixed,,Delivery,0,,,,,,,All,None
177252,IT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,FORTUNE LAKE,Location,CARLTON,Fixed,,Delivery,0,,,,,,,All,None
177164,FT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,RATTLE RUN,Location,CARLTON,Fixed,,Delivery,0,,,,,,,All,None
177265,IT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,RATTLE RUN,Location,CARLTON,Fixed,,Delivery,0,,,,,,,All,None
177175,FT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,ST.CLAIR,Location,CARLTON,Fixed,,Delivery,0,,,,,,,All,None
