Pipeline,Rate Definition ID,Rate Schedule,Provider Charge Type *,Charge Unit,Start Date,End Date *,Rate Category,Season,Rec Loc Type,Rec Loc ID,Del Loc Type,Del Loc ID,Rate Type,Rate Unit,Charge Indicator,Rate
GLGT,246718,FT,UTIL,Amount,6/1/2025,,TR,,Zone,WESTERN,Zone,EASTERN,Fixed,,Delivery,0.01176
GLGT,246715,FT,UTIL,Amount,6/1/2025,,TR,,Zone,CENTRAL,Zone,CENTRAL,Fixed,,Delivery,0.00521
GLGT,246714,FT,UTIL,Amount,6/1/2025,,TR,,Zone,EASTERN,Zone,WESTERN,Fixed,,Delivery,0.01176
GLGT,246713,FT,UTIL,Amount,6/1/2025,,TR,,Zone,CENTRAL,Zone,WESTERN,Fixed,,Delivery,0.00952
GLGT,246712,FT,UTIL,Amount,6/1/2025,,TR,,Zone,WESTERN,Zone,WESTERN,Fixed,,Delivery,0.00431
GLGT,246716,FT,UTIL,Amount,6/1/2025,,TR,,Zone,EASTERN,Zone,CENTRAL,Fixed,,Delivery,0.00745
GLGT,246717,FT,UTIL,Amount,6/1/2025,,TR,,Zone,WESTERN,Zone,CENTRAL,Fixed,,Delivery,0.00952
GLGT,246720,FT,UTIL,Amount,6/1/2025,,TR,,Zone,CENTRAL,Zone,EASTERN,Fixed,,Delivery,0.00224
GLGT,246719,FT,UTIL,Amount,6/1/2025,,TR,,Zone,EASTERN,Zone,EASTERN,Fixed,,Delivery,0.00745
GLGT,240513,FT,FUEL,Percent,5/1/2025,,TR,,All,,All,,Fixed,,Delivery,0
GLGT,246301,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CLOW RECEIPT,Location,WAKEFIELD,Fixed,,Delivery,2.37661
GLGT,246281,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-FARWELL POOL,Location,GRAND RAPIDS NN,Fixed,,Delivery,0
GLGT,246294,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CARLTON MC,Location,RATTLE RUN MC,Fixed,,Delivery,0
GLGT,246396,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,ST CLAIR MC,Location,FARWELL MC,Fixed,,Delivery,0
GLGT,246381,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FORTUNE LAKE,Location,EMERSON MC,Fixed,,Delivery,0.42431
GLGT,246279,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-EMERSON POOL,Location,GRAND RAPIDS NN,Fixed,,Delivery,0
GLGT,246398,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-EMERSON POOL,Location,SAULT STE MARIE TCPL MC,Fixed,,Delivery,0.20256
GLGT,246399,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-ST CLAIR POOL,Location,SAULT STE MARIE TCPL MC,Fixed,,Delivery,0
GLGT,246211,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-EMERSON POOL,Location,DNU-ST CLAIR POOL,Fixed,,Delivery,0
GLGT,246280,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-FARWELL POOL,Location,BELLE RIVER MILLS DEC,Fixed,,Delivery,0.20256
GLGT,246400,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,EMERSON MC,Location,SAULT STE MARIE TCPL MC,Fixed,,Delivery,0.20256
GLGT,246188,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CHIPPEWA,Location,MIDLAND,Fixed,,Delivery,0.86487
GLGT,246350,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,ST CLAIR MC,Location,RAPID RIVER,Fixed,,Delivery,0
GLGT,246286,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CARLTON MC,Location,CHIPPEWA,Fixed,,Delivery,0
GLGT,246302,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CARLTON MC,Location,BELLE RIVER MILLS MC,Fixed,,Delivery,0
GLGT,246194,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DEWARD REC,Location,DNU-CARLTON POOL,Fixed,,Delivery,1.51846
GLGT,246224,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-FARWELL POOL,Location,MIDLAND,Fixed,,Delivery,0
GLGT,246215,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-FARWELL POOL,Location,DNU-CARLTON POOL,Fixed,,Delivery,0
GLGT,246394,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CARLTON MC,Location,FARWELL MC,Fixed,,Delivery,1.73441
GLGT,246276,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-CARLTON POOL,Location,BELLE RIVER MILLS DEC,Fixed,,Delivery,0
GLGT,246275,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,BELLE RIVER MILLS MC,Location,TRUMBLE ROAD,Fixed,,Delivery,0.20256
GLGT,246395,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,EMERSON MC,Location,FARWELL MC,Fixed,,Delivery,2.37661
GLGT,246277,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-CARLTON POOL,Location,BELLE RIVER MILLS MC,Fixed,,Delivery,2.16348
GLGT,246278,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-EMERSON POOL,Location,BELLE RIVER MILLS DEC,Fixed,,Delivery,2.58882
GLGT,246210,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-EMERSON POOL,Location,RATTLE RUN MC,Fixed,,Delivery,0
GLGT,246184,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-CARLTON POOL,Location,MIDLAND,Fixed,,Delivery,1.73441
