Location\nID,Pipeline *,Zone,Geographic Location,Location,Name,Meter\nID,Milepost,Location\nType,Index\nSubgroup,NAESB\nDRN #,State,Point\nDirect,Interconnect,value_pool,Group,Constrained,Default,Active,Active\nStart Date,Active\nEnd Date,location_index,AutoNom,AutoNom Loc,AutoNom K to Loc,AutoNom K from Loc,AutoNom K,Daily\nIndex ID,Rate\nID,Last\nUpdate,Personnel\nID,Version\nNumber,Description 1,Description 2,Description 3,Description 4,Description 5,Days Offset,Time Zone,Density Adjustment\n(Volume to Mass),Measure\nGroup,Allocation\nMethod,% Decline,Min Entry\nCapacity,Min Exit\nCapacity,Alt Value\nPool,Alt Index\nID,Facility,Network Path,Loc Adj UDP,Defined Date Sequence,Segment,Project Area,BBL / MT,Transport Class,Location Adj\nUDP Assigned?,Price Adj Breakdown,Tport Rebill Bunit,Tport Rebill Lentity
45100,GLGT,EASTERN,None,FARWELL,FARWELL,11601,0,Point,None,,MI,Bi-Directional,ANR TO GLGT FARWELL,VP_FARWELL_CG,,,,CHECK_MARK,,,NG_LD_FARWELL_CG,,,,,,,None,6/20/18,ballj1,3,,,,,,0,GMT,,None,Ranking,0,0,0,,,,0,,,,,1, ,No,Standard,,
45897,GLGT,EASTERN,None,FARWELL (TCPL),FARWELL (TCPL),11601,0,Point,None,,MI,Bi-Directional,TCPL TO FARWELL,VP_FARWELL_CG,,,,CHECK_MARK,,,NG_LD_FARWELL_CG,,,,,,,None,6/20/18,ballj1,1,,,,,,0,GMT,,None,Ranking,0,0,0,,,,0,,,,,1, ,No,Standard,,
45717,GLGT,EASTERN,None,FARWELL POOL,FARWELL POOL,11601,0,Pool,None,,MI,Bi-Directional,None,VP_FARWELL_CG,,,,CHECK_MARK,,,NG_LD_FARWELL_CG,,,,,,,None,6/20/18,ballj1,1,,,,,,0,GMT,,None,Ranking,0,0,0,,,,0,,,,,1, ,No,Standard,,
46313,GLGT,EASTERN,None,BELLE RIVER MILLS (TCPL),BELLE RIVER MILLS (TCPL),11601,0,Point,None,,MI,Bi-Directional,TCPL TO BELLE RIVER MILLS,VP_MICHCON_CG,,,,CHECK_MARK,,,NG_LD_MICHCON_CG,,,,,,,None,3/14/19,CHAMBERN,0,,,,,,0,GMT,,None,Ranking,0,0,0,,,,0,,,,,1, ,No,Standard,,
48264,GLGT,CENTRAL,None,RAPID RIVER,RAPID RIVER,11623,0,Pool,None,,MI,Bi-Directional,None,VP_APC_ACE,,,,CHECK_MARK,,,NG_LD_APC_ACE,,,,,,,None,10/10/22,zachej,1,,,,,,0,GMT,,None,Ranking,0,0,0,,,,0,,,,,1, ,No,Standard,,
45944,GLGT,EASTERN,None,BIRCH RUN,BIRCH RUN,11760,0,Point,None,3/2/18,MI,Bi-Directional,GLGT BIRCH RUN/CONSUMERS,VP_CONSUMERS_CG,,,,CHECK_MARK,,,NG_LD_CONSUMERS_CG,,1,,,,,None,9/27/23,reed2c,3,CHAMBERN,None,,,,0,GMT,3,None,Ranking,0,0,0,,,,0,,,,,0.333333, ,No,Standard,,
48208,GLGT,EASTERN,None,MANASTIQUE,MANISTIQUE,11786,0,Point,None,,MI,Delivery,None,VP_DAWN,,,,CHECK_MARK,,,NG_LD_DAWN,,,,,,,None,5/2/23,brettr5,1,,,,,,0,GMT,,None,Ranking,0,0,0,,,,0,,,,,1, ,No,Standard,,
48949,GLGT,EASTERN,None,MANISTIQUE POOL,MANISTIQUE POOL,11786P,0,Pool,None,,MI,Delivery,None,VP_DAWN,,,,CHECK_MARK,,,NG_LD_DAWN,,,,,,,None,2/9/24,reed2c,0,,,,,,0,GMT,,None,Ranking,0,0,0,,,,0,,,,,1, ,No,Standard,,
44844,GLGT,CENTRAL,None,CRYSTAL FALLS,GLGT ANR CRYSTAL FALLS,1298945,0,Point,None,,WI,Delivery,GLGT FL TO ANR FL,VP_APC_ACE,,,,CHECK_MARK,,,NG_LD_APC_ACE,,,,,,,None,12/30/20,marasigm,3,,,,,,0,GMT,,None,Ranking,0,0,0,,,,0,,,,,1, ,No,Standard,,
46337,GLGT,EASTERN,None,DEWARD (TCPL),DEWARD (TCPL),15151,0,Point,None,,MI,Bi-Directional,TCPL TO DEWARD,VP_ST_CLAIR,,,,CHECK_MARK,,,NG_LD_ST_CLAIR,,,,,,,None,12/1/20,buih,2,,,,,,0,GMT,,None,Ranking,0,0,0,,,,0,,,,,1, ,No,Standard,,
46041,GLGT,EASTERN,None,MIDLAND,MIDLAND,169334,0,Pool,None,,MI,Bi-Directional,None,VP_CONSUMERS_CG,,,,CHECK_MARK,,,NG_LD_CONSUMERS_CG,,,,,,,None,6/9/23,brettr5,1,,,,,,0,GMT,,None,Ranking,0,0,0,,,,0,,,,,1, ,No,Standard,,
45265,GLGT,EASTERN,None,CHIPPEWA,CHIPPEWA,17406,0,Point,None,,MI,Bi-Directional,GLGT TO CONSUMERS,VP_CONSUMERS_CG,,,,CHECK_MARK,,,NG_LD_CONSUMERS_CG,,,,,,,None,3/5/18,gouldk,5,,,,,,0,GMT,,None,Ranking,0,0,0,,,,0,,,,,1, ,No,Standard,,
48688,GLGT,CENTRAL,None,DUCK CREEK,DUCK CREED,245609,0,Pool,None,,MI,Bi-Directional,None,VP_CHI_CG,,,,CHECK_MARK,,,NG_LD_CHI_CG,,,,,,,None,6/20/23,reed2c,0,,,,,,0,GMT,,None,Ranking,0,0,0,,,,0,,,,,1, ,No,Standard,,
46338,GLGT,EASTERN,None,CHIPPEWA (TCPL),CHIPPEWA (TCPL),252525,0,Point,None,,MI,Bi-Directional,TCPL TO CHIPPEWA,VP_CONSUMERS_CG,,,,CHECK_MARK,,,NG_LD_CONSUMERS_CG,,,,,,,None,4/4/19,CHAMBERN,1,,,,,,0,GMT,,None,Ranking,0,0,0,,,,0,,,,,1, ,No,Standard,,
