originLocation,destinationLocation,equipmentType,carrier,productType,rateType,effectiveDate,expirationDate,miles,fsc,grouping,equipCarCost,equipPerTonCost,totalCost,pvtCarCost,pvtPerTonCost,pvtTotalCost,costPerMile,last_update_date,color,id
"ENID, OK","ALTON, ND",SINGLE,BNSF,SUPERU,T,2023-07-01,2023-12-31,1045,3.56,PT TO PT,,49.48,53.04,,47.41,50.97,0.0508,2023-07-01,orange,ENID|#|OK|#|ALTON|#|ND|#|BNSF|#|SINGLE|#|SUPERU|#|T|#|2023-07-01|#|2023-12-31|#|PT TO PT
"JUDD, IA","KENTON, OH",SINGLE,CN-CHGO-CSXT,UAN,F,,,661,,,,,,,,59.79,0.0905,2023-07-01,grey,JUDD|#|IA|#|KENTON|#|OH|#|CN-CHGO-CSXT|#|SINGLE|#|UAN|#|F|#||#||#|
"DANVILLE, IL","DONOVAN, IL",SINGLE,KBSR,UAN,T,2021-11-01,,,,,,,,525,5.36,5.36,,2021-11-01,grey,DANVILLE|#|IL|#|DONOVAN|#|IL|#|KBSR|#|SINGLE|#|UAN|#|T|#|2021-11-01|#||#|
"BRANDON, MB","CROSSFIELD, AB",SINGLE,CPRS,UAN,C,2023-07-01,2024-06-30,727,,,,,,6662,74.85,80.19,0.1103,2023-07-01,grey,BRANDON|#|MB|#|CROSSFIELD|#|AB|#|CPRS|#|SINGLE|#|UAN|#|C|#|2023-07-01|#|2024-06-30|#|
"SAINT LOUIS, MO","MURDOCK, MN",SINGLE,BNSF,UREA,T,2023-07-01,2023-12-31,705,2.4,PT TO PT,,46.26,48.66,,,,0.069,2023-07-01,orange,SAINT LOUIS|#|MO|#|MURDOCK|#|MN|#|BNSF|#|SINGLE|#|UREA|#|T|#|2023-07-01|#|2023-12-31|#|PT TO PT
"ENID, OK","COLLINS, MT",SINGLE,BNSF,SUPERU,T,2023-07-01,2023-12-31,1467,4.99,PT TO PT,,63.18,68.17,,60.55,65.54,0.0465,2023-07-01,orange,ENID|#|OK|#|COLLINS|#|MT|#|BNSF|#|SINGLE|#|SUPERU|#|T|#|2023-07-01|#|2023-12-31|#|PT TO PT
"ROCK ISLAND, IL","HANSEN, ID",SINGLE,IAIS-CBLUF-UP,DAP,F,,,1341,,"",,,,,,83.78,,2023-07-01,grey,ROCK ISLAND|#|IL|#|HANSEN|#|ID|#|IAIS-CBLUF-UP|#|SINGLE|#|DAP|#|F|#||#||#|
"CHICAGO, IL","CALGARY, AB",SINGLE,CPRS,METHANOL,T,2023-08-01,2024-07-31,1562,,,,,,7410,,8159.76,0.0594,2023-08-01,grey,CHICAGO|#|IL|#|CALGARY|#|AB|#|CPRS|#|SINGLE|#|METHANOL|#|T|#|2023-08-01|#|2024-07-31|#|
"ENID, OK","KIMBALL, NE",SINGLE,UP,SUPERU,T,2023-07-01,2024-06-30,741,3.82,NE - CHAPPELL,3909,40.3,44.12,3491,35.99,39.81,0.0595,2023-07-01,red,ENID|#|OK|#|KIMBALL|#|NE|#|UP|#|SINGLE|#|SUPERU|#|T|#|2023-07-01|#|2024-06-30|#|NE - CHAPPELL
"WILMINGTON, NC","PUTNAM, ON",SINGLE,CSXT-DET-CPRS,UREA,Q,,,1203,,,,,85.9,,,73.41,0.0714,2023-10-13,grey,WILMINGTON|#|NC|#|PUTNAM|#|ON|#|CSXT-DET-CPRS|#|SINGLE|#|UREA|#|Q|#||#||#|
"BRANDON, MB","LEWISTOWN, PA",SINGLE,CPRS-CHGO-NS,ATS,F,,,1627,,,,,,,,80.09,0.0492,2023-08-01,grey,BRANDON|#|MB|#|LEWISTOWN|#|PA|#|CPRS-CHGO-NS|#|SINGLE|#|ATS|#|F|#||#||#|
"WILMINGTON, NC","WINCHESTER, KY",SINGLE,CSXT,UREA,T,2023-03-16,2024-02-29,987,,PF - AL OZARK,4255,43.87,43.87,3546,36.56,36.56,0.0444,2023-03-16,blue,WILMINGTON|#|NC|#|WINCHESTER|#|KY|#|CSXT|#|SINGLE|#|UREA|#|T|#|2023-03-16|#|2024-02-29|#|PF - AL OZARK
"BRANDON, MB","HAMILTON, ON",SINGLE,CN,10-34-0,C,2023-01-01,2023-12-31,1395,,,,,,5500,61.8,72.9,0.0523,2023-01-01,grey,BRANDON|#|MB|#|HAMILTON|#|ON|#|CN|#|SINGLE|#|10-34-0|#|C|#|2023-01-01|#|2023-12-31|#|
"ENID, OK","MONTA VISTA, CA",SINGLE,UP,SUPERU,T,2023-07-01,2024-06-30,2077,10.71,CA - FRESNO,8527,87.91,98.61,7614,78.49,89.2,0.0475,2023-07-01,red,ENID|#|OK|#|MONTA VISTA|#|CA|#|UP|#|SINGLE|#|SUPERU|#|T|#|2023-07-01|#|2024-06-30|#|CA - FRESNO
"ENID, OK","SHARON SPRINGS, KS",SINGLE,UP,SUPERU,T,2023-07-01,2024-06-30,465,2.4,KS - SHARON SPRINGS,3908,40.29,42.69,3489,35.97,38.37,0.0918,2023-07-01,red,ENID|#|OK|#|SHARON SPRINGS|#|KS|#|UP|#|SINGLE|#|SUPERU|#|T|#|2023-07-01|#|2024-06-30|#|KS - SHARON SPRINGS
"ENID, OK","KERSHAW, MT",SINGLE,BNSF,UREA,T,2023-07-01,2023-12-31,1647,5.6,PT TO PT,,59.93,65.53,,57.43,63.03,0.0398,2023-07-01,orange,ENID|#|OK|#|KERSHAW|#|MT|#|BNSF|#|SINGLE|#|UREA|#|T|#|2023-07-01|#|2023-12-31|#|PT TO PT
"WILMINGTON, NC","ADRIAN, PA",SINGLE,CSXT-NEWCA-BPRR,UREA,T,2023-03-01,2024-02-29,542,,PF - PA PITTSBURGH,7756,79.96,79.96,7371,75.99,75.99,0.1475,2023-03-01,grey,WILMINGTON|#|NC|#|ADRIAN|#|PA|#|CSXT-NEWCA-BPRR|#|SINGLE|#|UREA|#|T|#|2023-03-01|#|2024-02-29|#|PF - PA PITTSBURGH
"ST LOUIS (ALL), MO","GOTHENBURG, NE",SINGLE,UP,UREA,T,2023-07-01,2024-06-30,646,3.33,NE - COZAD,4869,50.2,53.53,4347,44.81,48.14,0.0829,2023-07-01,red,ST LOUIS (ALL)|#|MO|#|GOTHENBURG|#|NE|#|UP|#|SINGLE|#|UREA|#|T|#|2023-07-01|#|2024-06-30|#|NE - COZAD
