countyCode,REGION,STATE,COUNTY,ZIP CODE
25021,,MA,NORFOLK,02019
48113,TX NE,TX,DALLAS,75089
45075,SC S,SC,ORANGEBURG,29115
18093,,IN,LAWRENCE,47451
27015,MN S,MN,BROWN,56041
55113,WI N,WI,SAWYER,54862
39011,,OH,AUGLAIZE,45869
38017,,ND,CASS,58002
48309,TX NE,TX,MCLENNAN,76682
17181,IL W,IL,UNION,62926
40115,OK NW,OK,OTTAWA,74358
28033,,MS,DESOTO,38651
13263,,GA,TALBOT,31836
19083,IA NE,IA,HARDIN,50206
13269,,GA,TAYLOR,31076
51025,VA SE,VA,BRUNSWICK,23843
54033,,WV,HARRISON,26431
2261,,AK,VALDEZ-CORDOVA,99693
48013,TX C,TX,ATASCOSA,78065
47157,,TN,SHELBY,38122
35019,,NM,GUADALUPE,88353
21205,,KY,ROWAN,40351
54063,,WV,MONROE,24951
25001,,MA,BARNSTABLE,02633
29029,MO SE,MO,CAMDEN,65324
46047,,SD,FALL RIVER,57763
30111,MT S,MT,YELLOWSTONE,59044
39013,,OH,BELMONT,43967
19065,IA NE,IA,FAYETTE,50655
46011,,SD,BROOKINGS,57220
48291,TX S,TX,LIBERTY,77564
45041,SC E,SC,FLORENCE,29506
20139,KS NC,KS,OSAGE,66510
19121,IA SW,IA,MADISON,50033
32021,,NV,MINERAL,89415
41019,OR W,OR,DOUGLAS,97447
17141,IL W,IL,OGLE,61007
33003,,NH,CARROLL,03813
41067,OR W,OR,WASHINGTON,97225
29149,MO SE,MO,OREGON,65778
17013,IL W,IL,CALHOUN,62047
9001,,CT,FAIRFIELD,06784
42009,,PA,BEDFORD,16664
36093,,NY,SCHENECTADY,12309
24047,,MD,WORCESTER,21811
48231,TX NE,TX,HUNT,75453
1027,,AL,CLAY,36266
54045,,WV,LOGAN,25632
54045,,WV,LOGAN,25625
46023,,SD,CHARLES MIX,57380
26157,,MI,TUSCOLA,48701
38011,,ND,BOWMAN,58653
6029,,CA,KERN,93250
34029,,NJ,OCEAN,08742
21141,,KY,LOGAN,42256
24033,,MD,"PRINCE GEORGE'S",20737
21015,,KY,BOONE,41080
17051,IL E,IL,FAYETTE,62080
35013,,NM,DOÑA ANA,88048
27099,MN S,MN,MOWER,55951
40113,OK NW,OK,OSAGE,74001
5013,,AR,CALHOUN,71711
17151,IL E,IL,POPE,62928
26161,,MI,WASHTENAW,48103
21131,,KY,LESLIE,40816
26163,,MI,WAYNE,48233
41057,OR W,OR,TILLAMOOK,97149
23007,,ME,FRANKLIN,04982
26011,,MI,ARENAC,48610
35015,,NM,EDDY,88255
10005,,DE,SUSSEX,19941
36031,,NY,ESSEX,12872
36089,,NY,ST. LAWRENCE,13617
42063,,PA,INDIANA,16256
29189,MO SE,MO,ST. LOUIS,63011
36101,,NY,STEUBEN,14572
48027,TX C,TX,BELL,76554
6037,,CA,LOS ANGELES,90028
29091,MO SE,MO,HOWELL,65793
19007,IA SE,IA,APPANOOSE,52544
46041,,SD,DEWEY,57636
15007,,HI,KAUAI,96751
26119,,MI,MONTMORENCY,49756
4005,,AZ,COCONINO,86024
37169,NC W,NC,STOKES,27046
30029,MT W,MT,FLATHEAD,59901
23017,,ME,OXFORD,04257
31013,NE NW,NE,BOX BUTTE,69301
21237,,KY,WOLFE,41360
8121,CO E,CO,WASHINGTON,80743
46051,,SD,GRANT,57269
8041,CO E,CO,EL PASO,80902
36105,,NY,SULLIVAN,12723
13179,,GA,LIBERTY,31309
8077,CO W,CO,MESA,81646
51001,VA N,VA,ACCOMACK,23303
40063,OK SE,OK,HUGHES,74839
55085,WI N,WI,ONEIDA,54548
18103,,IN,MIAMI,46970
36071,,NY,ORANGE,12550
6037,,CA,LOS ANGELES,91387
20047,KS SC,KS,EDWARDS,67519
28049,,MS,HINDS,39154
55019,WI N,WI,CLARK,54420
51023,VA N,VA,BOTETOURT,24175
6037,,CA,LOS ANGELES,91384
25013,,MA,HAMPDEN,01105
,KS SC,KS,SEDGWICK,67278
21115,,KY,JOHNSON,41222
46031,,SD,CORSON,57642
48039,TX S,TX,BRAZORIA,77511
48231,TX NE,TX,HUNT,75402
2050,,AK,BETHEL,99609
,OK NW,OK,WOODWARD,73802
20097,KS SC,KS,KIOWA,67059
27019,MN S,MN,CARVER,55367
2016,,AK,ALEUTIANS WEST,99546
27145,MN C,MN,STEARNS,56375
51063,VA N,VA,FLOYD,24380
54093,,WV,TUCKER,26269
17143,IL W,IL,PEORIA,61525
45083,SC NW,SC,SPARTANBURG,29303
29155,MO SE,MO,PEMISCOT,63879
53033,WA W,WA,KING,98224
37011,NC W,NC,AVERY,28646
17201,IL W,IL,WINNEBAGO,61016
26053,,MI,GOGEBIC,49947
18089,,IN,LAKE,46307
54025,,WV,GREENBRIER,24970
6107,,CA,TULARE,93603
47145,,TN,ROANE,37840
72127,,PR,SAN JUAN,00917
31055,NE SE,NE,DOUGLAS,68064
51019,VA N,VA,BEDFORD,24526
42055,,PA,FRANKLIN,17201
42091,,PA,MONTGOMERY,19405
16001,ID W,ID,ADA,83705
18003,,IN,ALLEN,46802
29189,MO SE,MO,ST. LOUIS,63088
37159,NC W,NC,ROWAN,28147
19171,IA SE,IA,TAMA,52217
17063,IL E,IL,GRUNDY,60447
41039,OR W,OR,LANE,97408
19163,IA SE,IA,SCOTT,52806
42129,,PA,WESTMORELAND,15642
38091,,ND,STEELE,58046
20151,KS SC,KS,PRATT,67066
8059,CO E,CO,JEFFERSON,80214
37081,NC W,NC,GUILFORD,27282
33011,,NH,HILLSBOROUGH,03047
60050,,AS,WESTERN,96799
36085,,NY,RICHMOND,10309
19179,IA SE,IA,WAPELLO,52566
36067,,NY,ONONDAGA,13029
54019,,WV,FAYETTE,25059
29189,MO SE,MO,ST. LOUIS,63125
55093,WI N,WI,PIERCE,54003
46059,,SD,HAND,57362
20173,KS SC,KS,SEDGWICK,67214
39049,,OH,FRANKLIN,43220
51700,VA SE,VA,NEWPORT NEWS,23603
22115,,LA,VERNON,71459
30081,MT W,MT,RAVALLI,59840
34035,,NJ,SOMERSET,08821
13079,,GA,CRAWFORD,31066
5045,,AR,FAULKNER,72106
1079,,AL,LAWRENCE,35650
72141,,PR,UTUADO,00641
15009,,HI,MAUI,96713
40081,OK NW,OK,LINCOLN,74875
18097,,IN,MARION,46241
45003,SC S,SC,AIKEN,29105
,NE C,NE,LINCOLN,69103
29221,MO SE,MO,WASHINGTON,63674
4001,,AZ,APACHE,86507
4013,,AZ,MARICOPA,85249
5149,,AR,YELL,72833
37017,NC SE,NC,BLADEN,28399
36049,,NY,LEWIS,13648
48021,TX C,TX,BASTROP,78612
17169,IL W,IL,SCHUYLER,62344
17035,IL E,IL,CUMBERLAND,62445
37183,NC SE,NC,WAKE,27540
51087,VA N,VA,HENRICO,23238
17173,IL E,IL,SHELBY,62462
6111,,CA,VENTURA,91320
20015,KS SC,KS,BUTLER,67123
41011,OR W,OR,COOS,97414
17141,IL W,IL,OGLE,61054
36091,,NY,SARATOGA,12027
51009,VA N,VA,AMHERST,24572
32017,,NV,LINCOLN,89042
18043,,IN,FLOYD,47150
42125,,PA,WASHINGTON,15332
26047,,MI,EMMET,49770
53005,WA E,WA,BENTON,99353
21193,,KY,PERRY,41760
26163,,MI,WAYNE,48239
28089,,MS,MADISON,39157
33015,,NH,ROCKINGHAM,03873
40125,OK NW,OK,POTTAWATOMIE,74826
26117,,MI,MONTCALM,48838
29097,MO SW,MO,JASPER,64832
1125,,AL,TUSCALOOSA,35476
50019,,VT,ORLEANS,05847
31041,NE C,NE,CUSTER,69120
50017,,VT,ORANGE,05070
24025,,MD,HARFORD,21010
4003,,AZ,COCHISE,85620
29227,MO NW,MO,WORTH,64486
13231,,GA,PIKE,30295
19091,IA NW,IA,HUMBOLDT,50577
26013,,MI,BARAGA,49946
48251,TX NE,TX,JOHNSON,76009
6065,,CA,RIVERSIDE,92320
5057,,AR,HEMPSTEAD,71838
48299,TX C,TX,LLANO,78643
