origin,region,state,regionType,uom,mileLower,mileUpper,productType,season,entryDate,amount,tons,id,last_update_date
"JEFFERSONVILLE, IN",MN C,MN,DESTINATION,$/MI,60,9999,DAP,2023 Q4,2023-09-28,0,25,"MN C|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2023 Q4|#|2023-09-28|#|JEFFERSONVILLE, IN",2023-09-28
"BILLINGS, MT",MT W,MT,DESTINATION,$/MI,60,9999,UREA,2023 Q4,2023-09-28,6.5,25,"MT W|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2023 Q4|#|2023-09-28|#|BILLINGS, MT",2023-09-28
,NE,NE,ORIGIN,$/ST,40,50,AMMONIA,FALL 2023,2023-08-18,26.05,20,NE|#|ORIGIN|#|AMMONIA|#|$/ST|#|40|#|50|#|FALL 2023|#|2023-08-18|#|,2023-08-18
"ENID, OK",KS SW,KS,DESTINATION,$/MI,60,9999,DAP,2024 Q1,2023-09-28,3.4,25,"KS SW|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2024 Q1|#|2023-09-28|#|ENID, OK",2023-09-28
"INOLA, OK",OK NW,OK,DESTINATION,$/ST,0,60,SUPERU,2024 Q1,2023-09-28,15,25,"OK NW|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2024 Q1|#|2023-09-28|#|INOLA, OK",2023-09-28
"ROCK ISLAND, IL",WI SW,WI,DESTINATION,$/MI,60,9999,SUPERU,2024 Q1,2023-09-28,4.5,25,"WI SW|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2024 Q1|#|2023-09-28|#|ROCK ISLAND, IL",2023-09-28
,ND,ND,ORIGIN,$/MI,100,150,ATS,2023 Q4,2023-08-18,5.4,25,ND|#|ORIGIN|#|UAN/ATS/APP|#|$/MI|#|100|#|150|#|2023 Q4|#|2023-08-18|#|,2023-08-18
"INOLA, OK",KS SW,KS,DESTINATION,$/ST,0,60,DAP,2024 Q1,2023-09-28,15,25,"KS SW|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2024 Q1|#|2023-09-28|#|INOLA, OK",2023-09-28
"WINONA, MN",WI SW,WI,DESTINATION,$/MI,60,9999,MAP,2024 Q1,2023-09-28,4.5,25,"WI SW|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2024 Q1|#|2023-09-28|#|WINONA, MN",2023-09-28
"ENID, OK",KS SW,KS,DESTINATION,$/ST,0,60,UREA,2023 Q4,2023-09-28,15,25,"KS SW|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2023 Q4|#|2023-09-28|#|ENID, OK",2023-09-28
