zip,Fips,CountyName,percentage,cnt
00501,36103,SUFFOLK,100.00,2
00544,36103,SUFFOLK,100,1
00601,72001,ADJUNTAS,100.00,1097
00602,72003,AGUADA,100.00,2062
00603,72005,AGUADILLA,100.00,3994
00604,72005,AGUADILLA,100.00,56
00605,72005,AGUADILLA,100.00,292
00606,72093,MARICAO,100.00,363
00610,72011,ANASCO,100.00,1614
00611,72141,UTUADO,100.00,37
00612,72013,ARECIBO,100.00,5622
00613,72013,ARECIBO,100.00,338
00614,72013,ARECIBO,100.00,260
00616,72013,ARECIBO,100.00,357
00617,72017,BARCELONETA,100.00,2268
00622,72023,CABO ROJO,100.00,343
00623,72023,CABO ROJO,100.00,2920
00624,72111,PENUELAS,100.00,1033
00627,72027,CAMUY,100.00,2248
00631,72081,LARES,100.00,9
00636,72125,SAN GERMAN,100,1
00637,72121,SABANA GRANDE,100.00,1638
00638,72039,CIALES,100.00,805
00641,72141,UTUADO,100.00,2037
00646,72051,DORADO,100.00,2906
00647,72055,GUANICA,100.00,513
00650,72054,FLORIDA,100.00,744
00652,72013,ARECIBO,100.00,470
00653,72055,GUANICA,100.00,844
00656,72059,GUAYANILLA,100.00,800
00659,72065,HATILLO,100.00,1745
00660,72067,HORMIGUEROS,100.00,1104
00662,72071,ISABELA,100.00,3831
00664,72073,JAYUYA,100.00,576
00667,72079,LAJAS,100.00,1122
00669,72081,LARES,100.00,799
00670,72011,ANASCO,  0.96,5
00670,72027,CAMUY, 49.13,255
00670,72083,LAS MARIAS, 49.90,259
00674,72091,MANATI,100.00,3326
00676,72099,MOCA,100.00,1663
00677,72117,RINCON,100.00,1586
00678,72115,QUEBRADILLAS,100.00,2115
00680,72097,MAYAGUEZ,100.00,4811
00681,72097,MAYAGUEZ,100.00,306
00682,72097,MAYAGUEZ,100.00,2433
00683,72125,SAN GERMAN,100.00,2234
00685,72131,SAN SEBASTIAN,100.00,3512
00687,72101,MOROVIS,100.00,1919
00688,72013,ARECIBO,100.00,869
00690,72005,AGUADILLA,100.00,404
00692,72143,VEGA ALTA,100.00,2145
00693,72145,VEGA BAJA,100.00,3052
00694,72143,VEGA ALTA, 20.64,45
00694,72145,VEGA BAJA, 79.36,173
00698,72153,YAUCO,100.00,2371
00703,72007,AGUAS BUENAS,100.00,1182
00704,72057,GUAYAMA,  0.78,6
00704,72123,SALINAS, 99.22,759
00705,72009,AIBONITO,100.00,1185
00707,72095,MAUNABO,100.00,915
00714,72015,ARROYO,100.00,1131
